DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
55,SAI,1.0,MEDIUM,1.0,,18.533,35.573,88.375
55,SAI,2.0,MEDIUM,2.0,29.006,18.026,35.568,82.6
55,SAI,3.0,MEDIUM,3.0,29.002,18.548,35.456,83.006
55,SAI,4.0,MEDIUM,4.0,28.643,18.497,35.293,82.433
55,SAI,5.0,MEDIUM,5.0,28.705,18.504,35.42,82.629
55,SAI,6.0,MEDIUM,6.0,28.648,18.453,35.471,82.572
55,SAI,7.0,MEDIUM,7.0,28.67,18.462,35.302,82.434
55,SAI,8.0,MEDIUM,8.0,28.562,18.397,35.344,82.303
55,SAI,9.0,MEDIUM,9.0,28.594,18.29,35.141,82.025
55,SAI,10.0,MEDIUM,10.0,28.426,18.281,35.008,81.715
55,SAI,11.0,MEDIUM,11.0,28.46,18.272,35.206,81.938
55,SAI,12.0,MEDIUM,12.0,28.592,18.284,35.299,82.175
55,SAI,13.0,MEDIUM,13.0,28.595,18.317,35.293,82.205
55,SAI,14.0,MEDIUM,14.0,28.815,18.261,35.411,82.487
55,SAI,15.0,MEDIUM,15.0,28.688,18.274,35.658,82.62
55,SAI,16.0,MEDIUM,16.0,28.715,18.274,49.321,96.31
55,SAI,17.0,HARD,1.0,34.907,18.38,50.478,103.765
55,SAI,18.0,HARD,2.0,36.108,18.529,35.293,89.93
55,SAI,19.0,HARD,3.0,28.284,18.342,35.185,81.811
55,SAI,20.0,HARD,4.0,28.321,18.274,35.007,81.602
55,SAI,21.0,HARD,5.0,28.376,18.292,35.263,81.931
55,SAI,22.0,HARD,6.0,28.277,18.216,34.978,81.471
55,SAI,23.0,HARD,7.0,28.345,18.162,35.024,81.531
55,SAI,24.0,HARD,8.0,28.329,18.173,34.956,81.458
55,SAI,25.0,HARD,9.0,28.229,18.081,34.933,81.243
55,SAI,26.0,HARD,10.0,28.144,18.086,34.848,81.078
55,SAI,27.0,HARD,11.0,28.388,18.153,34.916,81.457
55,SAI,28.0,HARD,12.0,28.279,18.153,35.008,81.44
55,SAI,29.0,HARD,13.0,28.336,18.131,35.022,81.489
55,SAI,30.0,HARD,14.0,28.468,18.196,34.959,81.623
55,SAI,31.0,HARD,15.0,28.215,18.059,35.008,81.282
55,SAI,32.0,HARD,16.0,28.209,18.107,34.889,81.205
55,SAI,33.0,HARD,17.0,28.398,18.086,35.011,81.495
55,SAI,34.0,HARD,18.0,28.512,18.103,35.102,81.717
55,SAI,35.0,HARD,19.0,28.432,18.105,35.184,81.721
55,SAI,36.0,HARD,20.0,28.557,18.086,35.375,82.018
55,SAI,37.0,HARD,21.0,28.542,18.047,35.382,81.971
55,SAI,38.0,HARD,22.0,28.38,18.048,34.984,81.412
55,SAI,39.0,HARD,23.0,28.367,18.153,35.034,81.554
55,SAI,40.0,HARD,24.0,28.4,18.024,35.019,81.443
55,SAI,41.0,HARD,25.0,28.241,18.016,49.253,95.51
55,SAI,42.0,HARD,1.0,33.986,18.315,34.914,87.215
55,SAI,43.0,HARD,2.0,27.993,18.04,34.697,80.73
55,SAI,44.0,HARD,3.0,28.014,18.073,34.68,80.767
55,SAI,45.0,HARD,4.0,27.853,17.961,34.409,80.223
55,SAI,46.0,HARD,5.0,27.945,17.998,34.431,80.374
55,SAI,47.0,HARD,6.0,27.87,17.958,34.375,80.203
55,SAI,48.0,HARD,7.0,27.935,17.884,34.212,80.031
55,SAI,49.0,HARD,8.0,28.046,17.897,34.338,80.281
55,SAI,50.0,HARD,9.0,28.157,17.919,34.374,80.45
55,SAI,51.0,HARD,10.0,27.905,17.821,34.357,80.083
55,SAI,52.0,HARD,11.0,27.963,17.912,34.334,80.209
55,SAI,53.0,HARD,12.0,27.962,17.926,34.727,80.615
55,SAI,54.0,HARD,13.0,28.193,17.922,34.467,80.582
55,SAI,55.0,HARD,14.0,28.132,17.897,34.724,80.753
55,SAI,56.0,HARD,15.0,28.091,18.0,35.007,81.098
55,SAI,57.0,HARD,16.0,28.011,18.062,34.809,80.882
55,SAI,58.0,HARD,17.0,35.021,33.818,42.524,111.363
16,LEC,1.0,MEDIUM,1.0,,18.405,36.383,90.52
16,LEC,2.0,MEDIUM,2.0,28.731,17.982,36.301,83.014
16,LEC,3.0,MEDIUM,3.0,28.753,17.912,36.111,82.776
