DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
63,RUS,1.0,MEDIUM,1.0,,32.359,21.359,74.401
63,RUS,2.0,MEDIUM,2.0,17.469,31.731,21.38,70.58
63,RUS,3.0,MEDIUM,3.0,17.801,31.483,21.157,70.441
63,RUS,4.0,MEDIUM,4.0,17.555,31.631,21.281,70.467
63,RUS,5.0,MEDIUM,5.0,17.61,31.332,21.251,70.193
63,RUS,6.0,MEDIUM,6.0,17.616,31.962,21.455,71.033
63,RUS,7.0,MEDIUM,7.0,17.624,31.646,21.412,70.682
63,RUS,8.0,MEDIUM,8.0,17.696,31.695,21.264,70.655
63,RUS,9.0,MEDIUM,9.0,17.626,31.611,21.391,70.628
63,RUS,10.0,MEDIUM,10.0,17.717,32.021,21.525,71.263
63,RUS,11.0,MEDIUM,11.0,17.754,32.018,21.509,71.281
63,RUS,12.0,MEDIUM,12.0,17.76,31.876,21.499,71.135
63,RUS,13.0,MEDIUM,13.0,17.788,32.033,21.5,71.321
63,RUS,14.0,MEDIUM,14.0,17.797,32.072,21.571,71.44
63,RUS,15.0,MEDIUM,15.0,17.784,32.044,21.643,71.471
63,RUS,16.0,MEDIUM,16.0,17.831,31.915,21.636,71.382
63,RUS,17.0,MEDIUM,17.0,17.824,31.93,21.705,71.459
63,RUS,18.0,MEDIUM,18.0,17.786,32.03,21.481,71.297
63,RUS,19.0,MEDIUM,19.0,17.794,32.113,21.662,71.569
63,RUS,20.0,MEDIUM,20.0,17.854,32.068,21.609,71.531
63,RUS,21.0,MEDIUM,21.0,17.904,32.147,21.59,71.641
63,RUS,22.0,MEDIUM,22.0,17.891,32.111,25.075,75.077
63,RUS,23.0,MEDIUM,1.0,34.824,31.03,20.915,86.769
63,RUS,24.0,MEDIUM,2.0,17.446,31.068,21.049,69.563
63,RUS,25.0,MEDIUM,3.0,17.439,31.325,21.028,69.792
63,RUS,26.0,MEDIUM,4.0,17.439,31.487,21.111,70.037
63,RUS,27.0,MEDIUM,5.0,17.471,31.355,21.038,69.864
63,RUS,28.0,MEDIUM,6.0,17.595,31.509,20.981,70.085
63,RUS,29.0,MEDIUM,7.0,17.655,31.468,21.034,70.157
63,RUS,30.0,MEDIUM,8.0,17.608,31.483,21.089,70.18
63,RUS,31.0,MEDIUM,9.0,17.553,31.435,20.948,69.936
63,RUS,32.0,MEDIUM,10.0,17.634,31.544,21.041,70.219
63,RUS,33.0,MEDIUM,11.0,17.548,31.446,21.099,70.093
63,RUS,34.0,MEDIUM,12.0,17.611,31.524,21.125,70.26
63,RUS,35.0,MEDIUM,13.0,17.663,31.673,21.188,70.524
63,RUS,36.0,MEDIUM,14.0,17.64,31.72,21.238,70.598
