DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
81,PIA,1.0,MEDIUM,1.0,,44.739,25.778,112.903
81,PIA,2.0,MEDIUM,2.0,39.246,44.233,25.465,108.944
81,PIA,3.0,MEDIUM,3.0,39.118,44.065,25.628,108.811
81,PIA,4.0,MEDIUM,4.0,38.981,43.866,25.561,108.408
81,PIA,5.0,MEDIUM,5.0,38.647,43.998,25.425,108.07
81,PIA,6.0,MEDIUM,6.0,38.838,44.334,25.676,108.848
81,PIA,7.0,MEDIUM,7.0,38.975,44.165,25.615,108.755
81,PIA,8.0,MEDIUM,8.0,38.804,43.883,25.61,108.297
81,PIA,9.0,MEDIUM,9.0,38.61,43.959,25.656,108.225
81,PIA,10.0,MEDIUM,10.0,38.888,44.005,25.708,108.601
81,PIA,11.0,MEDIUM,11.0,38.72,43.874,25.71,108.304
81,PIA,12.0,MEDIUM,12.0,39.016,44.166,25.766,108.948
81,PIA,13.0,MEDIUM,13.0,38.996,44.267,25.931,109.194
81,PIA,14.0,MEDIUM,14.0,39.159,44.521,25.897,109.577
81,PIA,15.0,MEDIUM,15.0,39.315,44.48,29.716,113.511
81,PIA,16.0,HARD,1.0,54.377,43.42,25.456,123.253
81,PIA,17.0,HARD,2.0,38.738,44.771,25.047,108.556
81,PIA,18.0,HARD,3.0,38.574,43.706,25.537,107.817
81,PIA,19.0,HARD,4.0,38.655,43.68,25.13,107.465
81,PIA,20.0,HARD,5.0,39.427,43.804,25.635,108.866
81,PIA,21.0,HARD,6.0,38.58,43.632,25.642,107.854
81,PIA,22.0,HARD,7.0,38.599,43.562,25.59,107.751
81,PIA,23.0,HARD,8.0,38.557,43.501,25.423,107.481
81,PIA,24.0,HARD,9.0,38.244,43.283,25.539,107.066
81,PIA,25.0,HARD,10.0,38.462,43.58,25.366,107.408
81,PIA,26.0,HARD,11.0,38.472,43.541,25.515,107.528
81,PIA,27.0,HARD,12.0,38.386,43.536,25.446,107.368
81,PIA,28.0,HARD,13.0,38.296,43.691,25.571,107.558
81,PIA,29.0,HARD,14.0,38.41,43.666,25.525,107.601
81,PIA,30.0,HARD,15.0,38.386,43.822,25.453,107.661
81,PIA,31.0,HARD,16.0,38.6,43.786,25.537,107.923
81,PIA,32.0,HARD,17.0,38.612,43.928,25.595,108.135
81,PIA,33.0,HARD,18.0,39.103,43.722,25.611,108.436
81,PIA,34.0,HARD,19.0,38.633,43.768,25.526,107.927
81,PIA,35.0,HARD,20.0,38.5,43.813,25.508,107.821
81,PIA,36.0,HARD,21.0,38.542,43.696,25.635,107.873
81,PIA,37.0,HARD,22.0,38.584,43.75,25.523,107.857
81,PIA,38.0,HARD,23.0,38.499,43.726,25.457,107.682
81,PIA,39.0,HARD,24.0,38.564,43.762,25.45,107.776
81,PIA,40.0,HARD,25.0,38.524,43.503,25.694,107.721
81,PIA,41.0,HARD,26.0,38.723,43.655,25.497,107.875
81,PIA,42.0,HARD,27.0,38.782,43.466,25.44,107.688
81,PIA,43.0,HARD,28.0,38.489,43.459,25.668,107.616
81,PIA,44.0,HARD,29.0,38.436,43.478,25.451,107.365
81,PIA,45.0,HARD,30.0,38.529,43.729,25.469,107.727
81,PIA,46.0,HARD,31.0,38.346,43.544,25.379,107.269
81,PIA,47.0,HARD,32.0,38.234,43.372,25.454,107.06
81,PIA,48.0,HARD,33.0,38.379,43.709,25.4,107.488
81,PIA,49.0,HARD,34.0,38.498,43.621,25.428,107.547
81,PIA,50.0,HARD,35.0,38.358,43.501,25.399,107.258
81,PIA,51.0,HARD,36.0,62.649,50.911,39.774,
16,LEC,1.0,MEDIUM,1.0,,44.723,25.982,112.106
16,LEC,2.0,MEDIUM,2.0,39.094,44.289,25.9,109.283
16,LEC,3.0,MEDIUM,3.0,38.627,43.904,25.881,108.412
16,LEC,4.0,MEDIUM,4.0,38.622,43.959,25.827,108.408
16,LEC,5.0,MEDIUM,5.0,38.693,43.805,25.816,108.314
16,LEC,6.0,MEDIUM,6.0,38.541,43.739,25.772,108.052
16,LEC,7.0,MEDIUM,7.0,38.704,43.996,25.811,108.511
16,LEC,8.0,MEDIUM,8.0,38.246,43.69,25.736,107.672
16,LEC,9.0,MEDIUM,9.0,38.302,43.726,25.8,107.828
16,LEC,10.0,MEDIUM,10.0,38.475,43.742,25.877,108.094
16,LEC,11.0,MEDIUM,11.0,38.456,43.604,25.862,107.922
16,LEC,12.0,MEDIUM,12.0,38.508,43.747,25.835,108.09
16,LEC,13.0,MEDIUM,13.0,38.577,43.922,25.962,108.461
16,LEC,14.0,MEDIUM,14.0,38.692,44.227,25.912,108.831
16,LEC,15.0,MEDIUM,15.0,39.228,44.655,26.107,109.99
16,LEC,16.0,MEDIUM,16.0,39.0,44.722,30.122,113.844
16,LEC,17.0,HARD,1.0,56.582,43.73,25.759,126.071
16,LEC,18.0,HARD,2.0,38.76,43.707,25.891,108.358
16,LEC,19.0,HARD,3.0,38.578,43.661,25.654,107.893
16,LEC,20.0,HARD,4.0,40.182,44.172,25.289,109.643
16,LEC,21.0,HARD,5.0,38.826,43.745,25.369,107.94
16,LEC,22.0,HARD,6.0,38.697,43.768,25.272,107.737
16,LEC,23.0,HARD,7.0,38.599,43.727,25.193,107.519
16,LEC,24.0,HARD,8.0,38.351,43.444,25.391,107.186
16,LEC,25.0,HARD,9.0,38.434,43.715,25.212,107.361
16,LEC,26.0,HARD,10.0,38.417,43.66,25.237,107.314
16,LEC,27.0,HARD,11.0,38.748,43.428,25.221,107.397
16,LEC,28.0,HARD,12.0,38.502,43.694,25.086,107.282
16,LEC,29.0,HARD,13.0,38.885,43.7,25.273,107.858
16,LEC,30.0,HARD,14.0,38.652,43.781,25.095,107.528
16,LEC,31.0,HARD,15.0,38.994,43.782,25.337,108.113
16,LEC,32.0,HARD,16.0,38.77,43.833,25.231,107.834
16,LEC,33.0,HARD,17.0,39.55,44.007,25.379,108.936
16,LEC,34.0,HARD,18.0,38.748,43.791,25.295,107.834
16,LEC,35.0,HARD,19.0,38.607,43.685,25.351,107.643
16,LEC,36.0,HARD,20.0,38.722,43.899,25.426,108.047
16,LEC,37.0,HARD,21.0,38.768,43.758,25.305,107.831
16,LEC,38.0,HARD,22.0,38.586,43.765,25.165,107.516
16,LEC,39.0,HARD,23.0,38.809,43.934,25.134,107.877
16,LEC,40.0,HARD,24.0,38.692,43.474,25.324,107.49
16,LEC,41.0,HARD,25.0,39.033,43.775,25.1,107.908
16,LEC,42.0,HARD,26.0,39.172,43.589,25.216,107.977
16,LEC,43.0,HARD,27.0,38.643,43.541,25.431,107.615
16,LEC,44.0,HARD,28.0,38.405,43.521,25.141,107.067
