DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,SOFT,4.0,,41.266,23.616,97.284
1,VER,2.0,SOFT,5.0,30.916,41.661,23.719,96.296
1,VER,3.0,SOFT,6.0,30.999,41.966,23.788,96.753
1,VER,4.0,SOFT,7.0,30.931,41.892,23.824,96.647
1,VER,5.0,SOFT,8.0,31.255,42.056,23.862,97.173
1,VER,6.0,SOFT,9.0,31.041,42.187,23.864,97.092
1,VER,7.0,SOFT,10.0,31.015,42.118,23.905,97.038
1,VER,8.0,SOFT,11.0,31.041,42.077,23.906,97.024
1,VER,9.0,SOFT,12.0,31.1,42.166,23.963,97.229
1,VER,10.0,SOFT,13.0,30.986,42.009,23.965,96.96
1,VER,11.0,SOFT,14.0,30.974,42.142,23.969,97.085
1,VER,12.0,SOFT,15.0,30.966,42.091,23.988,97.045
1,VER,13.0,SOFT,16.0,30.964,42.055,24.011,97.03
1,VER,14.0,SOFT,17.0,30.938,42.042,24.048,97.028
1,VER,15.0,SOFT,18.0,30.887,42.058,24.066,97.011
1,VER,16.0,SOFT,19.0,31.048,42.032,24.088,97.168
1,VER,17.0,SOFT,20.0,31.006,42.06,26.83,99.896
1,VER,18.0,HARD,1.0,52.815,41.511,23.528,117.854
1,VER,19.0,HARD,2.0,30.628,41.162,23.493,95.283
1,VER,20.0,HARD,3.0,30.585,41.1,23.475,95.16
1,VER,21.0,HARD,4.0,30.576,41.24,23.5,95.316
1,VER,22.0,HARD,5.0,30.56,41.142,23.502,95.204
1,VER,23.0,HARD,6.0,30.553,41.145,23.518,95.216
1,VER,24.0,HARD,7.0,30.548,41.257,23.484,95.289
1,VER,25.0,HARD,8.0,30.518,41.282,23.542,95.342
1,VER,26.0,HARD,9.0,30.522,41.14,23.561,95.223
1,VER,27.0,HARD,10.0,30.649,41.338,23.594,95.581
1,VER,28.0,HARD,11.0,30.588,41.272,23.617,95.477
1,VER,29.0,HARD,12.0,30.679,41.485,23.629,95.793
