DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
44,HAM,1.0,MEDIUM,1.0,,49.406,29.478,112.7
44,HAM,2.0,MEDIUM,2.0,31.284,49.211,29.354,109.849
44,HAM,3.0,MEDIUM,3.0,31.215,48.486,29.408,109.109
44,HAM,4.0,MEDIUM,4.0,31.754,48.605,29.449,109.808
44,HAM,5.0,MEDIUM,5.0,31.592,48.32,29.464,109.376
44,HAM,6.0,MEDIUM,6.0,31.618,48.355,29.427,109.4
44,HAM,7.0,MEDIUM,7.0,31.662,48.124,29.571,109.357
44,HAM,8.0,MEDIUM,8.0,31.646,48.515,29.505,109.666
44,HAM,9.0,MEDIUM,9.0,31.616,48.572,29.516,109.704
44,HAM,10.0,MEDIUM,10.0,31.625,48.752,29.574,109.951
44,HAM,11.0,MEDIUM,11.0,31.618,48.726,33.984,114.328
44,HAM,12.0,HARD,1.0,46.008,49.504,29.28,124.792
44,HAM,13.0,HARD,2.0,31.262,47.833,29.109,108.204
44,HAM,14.0,HARD,3.0,31.323,47.55,29.251,108.124
44,HAM,15.0,HARD,4.0,31.38,47.556,29.214,108.15
44,HAM,16.0,HARD,5.0,31.381,47.444,29.148,107.973
44,HAM,17.0,HARD,6.0,31.418,47.512,29.027,107.957
44,HAM,18.0,HARD,7.0,31.287,47.481,29.142,107.91
44,HAM,19.0,HARD,8.0,31.36,47.575,29.105,108.04
44,HAM,20.0,HARD,9.0,31.378,47.684,29.175,108.237
44,HAM,21.0,HARD,10.0,31.497,47.602,29.297,108.396
44,HAM,22.0,HARD,11.0,31.443,47.622,29.303,108.368
44,HAM,23.0,HARD,12.0,31.486,47.58,29.272,108.338
44,HAM,24.0,HARD,13.0,31.366,47.535,29.127,108.028
44,HAM,25.0,HARD,14.0,31.415,47.395,29.035,107.845
44,HAM,26.0,HARD,15.0,31.359,47.199,33.489,112.047
44,HAM,27.0,HARD,1.0,45.393,46.984,28.923,121.3
44,HAM,28.0,HARD,2.0,30.835,47.762,28.799,107.396
44,HAM,29.0,HARD,3.0,31.059,47.387,28.983,107.429
44,HAM,30.0,HARD,4.0,31.176,46.961,28.894,107.031
44,HAM,31.0,HARD,5.0,31.181,47.047,28.954,107.182
44,HAM,32.0,HARD,6.0,31.156,46.903,28.944,107.003
44,HAM,33.0,HARD,7.0,31.053,46.607,28.993,106.653
44,HAM,34.0,HARD,8.0,30.993,46.933,28.93,106.856
44,HAM,35.0,HARD,9.0,31.062,46.667,29.0,106.729
44,HAM,36.0,HARD,10.0,30.984,46.986,28.961,106.931
44,HAM,37.0,HARD,11.0,30.997,46.996,29.049,107.042
44,HAM,38.0,HARD,12.0,30.939,46.849,28.959,106.747
44,HAM,39.0,HARD,13.0,30.962,47.145,28.947,107.054
44,HAM,40.0,HARD,14.0,30.948,47.225,28.952,107.125
44,HAM,41.0,HARD,15.0,30.715,47.811,29.096,107.622
44,HAM,42.0,HARD,16.0,30.637,47.833,28.917,107.387
44,HAM,43.0,HARD,17.0,30.872,47.61,28.906,107.388
44,HAM,44.0,HARD,18.0,30.734,47.38,28.92,107.034
81,PIA,1.0,MEDIUM,1.0,,50.48,29.643,114.248
81,PIA,2.0,MEDIUM,2.0,31.056,49.48,29.628,110.164
81,PIA,3.0,MEDIUM,3.0,30.988,49.611,29.372,109.971
81,PIA,4.0,MEDIUM,4.0,30.979,49.556,29.312,109.847
81,PIA,5.0,MEDIUM,5.0,30.86,49.788,29.437,110.085
81,PIA,6.0,MEDIUM,6.0,30.986,49.68,29.297,109.963
81,PIA,7.0,MEDIUM,7.0,30.926,49.646,29.458,110.03
81,PIA,8.0,MEDIUM,8.0,31.302,49.339,29.421,110.062
81,PIA,9.0,MEDIUM,9.0,31.338,49.752,29.391,110.481
81,PIA,10.0,MEDIUM,10.0,31.234,49.389,29.422,110.045
