DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
44,HAM,1.0,MEDIUM,1.0,,37.703,25.484,96.034
44,HAM,2.0,MEDIUM,2.0,29.249,37.314,24.857,91.42
44,HAM,3.0,MEDIUM,3.0,29.287,37.133,25.296,91.716
44,HAM,4.0,MEDIUM,4.0,29.554,37.258,25.176,91.988
44,HAM,5.0,MEDIUM,5.0,29.469,37.231,24.977,91.677
44,HAM,6.0,MEDIUM,6.0,29.486,37.195,25.065,91.746
44,HAM,7.0,MEDIUM,7.0,29.518,37.064,25.093,91.675
44,HAM,8.0,MEDIUM,8.0,29.475,37.201,25.084,91.76
44,HAM,9.0,MEDIUM,9.0,29.496,36.954,25.114,91.564
44,HAM,10.0,MEDIUM,10.0,29.484,36.923,25.108,91.515
44,HAM,11.0,MEDIUM,11.0,29.412,37.003,25.072,91.487
44,HAM,12.0,MEDIUM,12.0,29.429,36.937,25.197,91.563
44,HAM,13.0,MEDIUM,13.0,29.817,37.067,24.997,91.881
44,HAM,14.0,MEDIUM,14.0,29.552,37.045,25.012,91.609
44,HAM,15.0,MEDIUM,15.0,29.52,37.024,25.019,91.563
44,HAM,16.0,MEDIUM,16.0,29.491,36.755,25.685,91.931
44,HAM,17.0,MEDIUM,17.0,29.743,36.945,27.033,93.721
44,HAM,18.0,MEDIUM,18.0,29.752,37.612,27.707,95.071
44,HAM,19.0,MEDIUM,19.0,34.046,40.683,28.982,103.711
44,HAM,20.0,MEDIUM,20.0,33.695,39.257,27.069,100.021
44,HAM,21.0,MEDIUM,21.0,29.881,37.046,25.229,92.156
44,HAM,22.0,MEDIUM,22.0,29.387,36.821,24.887,91.095
44,HAM,23.0,MEDIUM,23.0,29.369,36.814,24.924,91.107
44,HAM,24.0,MEDIUM,24.0,29.344,36.872,25.419,91.635
44,HAM,25.0,MEDIUM,25.0,29.923,38.568,26.497,94.988
44,HAM,26.0,MEDIUM,26.0,30.114,42.065,28.613,100.792
44,HAM,27.0,MEDIUM,27.0,31.477,45.498,28.208,105.183
44,HAM,28.0,INTERMEDIATE,1.0,52.668,40.319,27.879,120.866
44,HAM,29.0,INTERMEDIATE,2.0,31.69,40.569,28.161,100.42
44,HAM,30.0,INTERMEDIATE,3.0,31.833,40.4,28.234,100.467
44,HAM,31.0,INTERMEDIATE,4.0,31.9,40.828,28.81,101.538
44,HAM,32.0,INTERMEDIATE,5.0,32.107,41.398,28.97,102.475
44,HAM,33.0,INTERMEDIATE,6.0,32.312,41.325,28.798,102.435
44,HAM,34.0,INTERMEDIATE,7.0,32.419,41.475,28.863,102.757
44,HAM,35.0,INTERMEDIATE,8.0,32.513,41.544,28.214,102.271
44,HAM,36.0,INTERMEDIATE,9.0,32.184,42.037,27.703,101.924
44,HAM,37.0,INTERMEDIATE,10.0,31.694,41.125,26.892,99.711
44,HAM,38.0,INTERMEDIATE,11.0,31.208,40.056,25.956,97.22
44,HAM,39.0,SOFT,2.0,53.812,38.414,25.163,117.389
44,HAM,40.0,SOFT,3.0,28.689,36.767,24.862,90.318
44,HAM,41.0,SOFT,4.0,28.96,36.367,24.791,90.118
44,HAM,42.0,SOFT,5.0,28.922,36.207,24.488,89.617
44,HAM,43.0,SOFT,6.0,28.884,36.195,24.714,89.793
44,HAM,44.0,SOFT,7.0,29.087,36.164,24.446,89.697
44,HAM,45.0,SOFT,8.0,29.064,36.042,24.332,89.438
44,HAM,46.0,SOFT,9.0,29.154,36.156,24.331,89.641
44,HAM,47.0,SOFT,10.0,29.069,36.025,24.444,89.538
44,HAM,48.0,SOFT,11.0,29.144,36.0,24.435,89.579
44,HAM,49.0,SOFT,12.0,29.218,36.038,24.411,89.667
44,HAM,50.0,SOFT,13.0,29.222,35.946,24.514,89.682
44,HAM,51.0,SOFT,14.0,29.128,36.03,24.585,89.743
44,HAM,52.0,SOFT,15.0,29.302,36.135,24.709,90.146
1,VER,1.0,MEDIUM,1.0,,37.975,25.708,96.711
1,VER,2.0,MEDIUM,2.0,29.612,37.222,24.939,91.773
1,VER,3.0,MEDIUM,3.0,29.672,37.216,25.312,92.2
1,VER,4.0,MEDIUM,4.0,29.626,37.09,25.217,91.933
1,VER,5.0,MEDIUM,5.0,29.608,37.007,25.163,91.778
1,VER,6.0,MEDIUM,6.0,29.471,37.07,25.17,91.711
1,VER,7.0,MEDIUM,7.0,29.586,37.024,25.325,91.935
1,VER,8.0,MEDIUM,8.0,29.655,37.087,25.296,92.038
1,VER,9.0,MEDIUM,9.0,29.639,36.978,25.266,91.883
1,VER,10.0,MEDIUM,10.0,29.557,36.884,25.22,91.661
1,VER,11.0,MEDIUM,11.0,29.524,37.06,25.226,91.81
1,VER,12.0,MEDIUM,12.0,29.529,37.046,25.319,91.894
1,VER,13.0,MEDIUM,13.0,29.562,37.021,25.176,91.759
1,VER,14.0,MEDIUM,14.0,29.517,37.027,25.156,91.7
1,VER,15.0,MEDIUM,15.0,29.622,36.874,25.753,92.249
1,VER,16.0,MEDIUM,16.0,29.493,37.097,25.914,92.504
1,VER,17.0,MEDIUM,17.0,29.827,37.281,28.251,95.359
1,VER,18.0,MEDIUM,18.0,30.085,37.891,28.196,96.172
1,VER,19.0,MEDIUM,19.0,33.582,40.925,27.978,102.485
1,VER,20.0,MEDIUM,20.0,31.872,39.086,26.15,97.108
1,VER,21.0,MEDIUM,21.0,30.031,37.975,25.482,93.488
1,VER,22.0,MEDIUM,22.0,29.61,37.027,25.267,91.904
1,VER,23.0,MEDIUM,23.0,29.632,37.148,25.363,92.143
1,VER,24.0,MEDIUM,24.0,29.699,37.341,25.98,93.02
1,VER,25.0,MEDIUM,25.0,29.999,38.958,27.106,96.063
1,VER,26.0,MEDIUM,26.0,30.72,43.858,26.913,101.491
1,VER,27.0,INTERMEDIATE,1.0,51.084,40.561,27.524,119.169
1,VER,28.0,INTERMEDIATE,2.0,31.767,41.184,28.225,101.176
1,VER,29.0,INTERMEDIATE,3.0,31.943,41.241,28.349,101.533
1,VER,30.0,INTERMEDIATE,4.0,32.368,41.071,28.659,102.098
1,VER,31.0,INTERMEDIATE,5.0,32.091,41.086,28.848,102.025
1,VER,32.0,INTERMEDIATE,6.0,32.47,41.197,28.871,102.538
1,VER,33.0,INTERMEDIATE,7.0,32.275,41.381,28.95,102.606
1,VER,34.0,INTERMEDIATE,8.0,32.316,41.542,28.589,102.447
1,VER,35.0,INTERMEDIATE,9.0,32.556,42.058,28.415,103.029
1,VER,36.0,INTERMEDIATE,10.0,32.172,42.007,27.779,101.958
1,VER,37.0,INTERMEDIATE,11.0,31.547,40.385,26.937,98.869
1,VER,38.0,INTERMEDIATE,12.0,30.903,39.254,25.806,95.963
1,VER,39.0,HARD,1.0,53.747,38.012,26.552,118.311
1,VER,40.0,HARD,2.0,28.866,36.203,24.987,90.056
1,VER,41.0,HARD,3.0,28.789,35.955,24.86,89.604
1,VER,42.0,HARD,4.0,28.913,35.869,24.69,89.472
1,VER,43.0,HARD,5.0,28.984,35.655,24.466,89.105
1,VER,44.0,HARD,6.0,28.97,35.867,24.535,89.372
1,VER,45.0,HARD,7.0,29.056,35.591,24.49,89.137
1,VER,46.0,HARD,8.0,29.141,35.901,24.501,89.543
1,VER,47.0,HARD,9.0,28.989,35.905,24.517,89.411
1,VER,48.0,HARD,10.0,28.807,36.166,23.979,88.952
1,VER,49.0,HARD,11.0,29.166,35.949,24.445,89.56
1,VER,50.0,HARD,12.0,29.084,35.787,24.415,89.286
1,VER,51.0,HARD,13.0,29.097,35.888,24.458,89.443
1,VER,52.0,HARD,14.0,29.149,35.714,24.226,89.089
4,NOR,1.0,MEDIUM,1.0,,38.34,25.641,97.347
4,NOR,2.0,MEDIUM,2.0,29.225,37.918,25.045,92.188
4,NOR,3.0,MEDIUM,3.0,29.279,37.536,25.176,91.991
4,NOR,4.0,MEDIUM,4.0,29.32,37.452,25.204,91.976
4,NOR,5.0,MEDIUM,5.0,29.363,37.239,25.114,91.716
4,NOR,6.0,MEDIUM,6.0,29.368,37.443,25.085,91.896
4,NOR,7.0,MEDIUM,7.0,29.557,37.223,25.291,92.071
4,NOR,8.0,MEDIUM,8.0,29.566,37.16,25.292,92.018
4,NOR,9.0,MEDIUM,9.0,29.558,37.179,25.239,91.976
4,NOR,10.0,MEDIUM,10.0,29.516,37.134,25.18,91.83
4,NOR,11.0,MEDIUM,11.0,29.417,37.15,25.181,91.748
4,NOR,12.0,MEDIUM,12.0,29.501,37.046,25.171,91.718
4,NOR,13.0,MEDIUM,13.0,29.496,36.95,25.026,91.472
4,NOR,14.0,MEDIUM,14.0,29.3,37.048,25.059,91.407
4,NOR,15.0,MEDIUM,15.0,29.38,36.994,24.572,90.946
4,NOR,16.0,MEDIUM,16.0,29.378,36.807,25.505,91.69
4,NOR,17.0,MEDIUM,17.0,29.606,37.055,27.643,94.304
4,NOR,18.0,MEDIUM,18.0,29.647,37.024,27.454,94.125
4,NOR,19.0,MEDIUM,19.0,32.74,40.852,27.844,101.436
4,NOR,20.0,MEDIUM,20.0,32.09,39.513,26.101,97.704
4,NOR,21.0,MEDIUM,21.0,29.432,37.163,24.918,91.513
4,NOR,22.0,MEDIUM,22.0,29.314,36.786,24.76,90.86
4,NOR,23.0,MEDIUM,23.0,29.451,36.841,24.884,91.176
4,NOR,24.0,MEDIUM,24.0,29.489,36.747,25.393,91.629
4,NOR,25.0,MEDIUM,25.0,29.696,38.185,26.426,94.307
4,NOR,26.0,MEDIUM,26.0,30.452,42.458,28.605,101.515
4,NOR,27.0,MEDIUM,27.0,32.069,45.057,27.68,104.806
4,NOR,28.0,INTERMEDIATE,1.0,52.053,40.758,28.104,120.915
4,NOR,29.0,INTERMEDIATE,2.0,31.594,40.61,28.062,100.266
4,NOR,30.0,INTERMEDIATE,3.0,31.98,40.583,28.154,100.717
4,NOR,31.0,INTERMEDIATE,4.0,31.855,40.682,28.776,101.313
4,NOR,32.0,INTERMEDIATE,5.0,32.262,41.072,28.882,102.216
4,NOR,33.0,INTERMEDIATE,6.0,32.409,41.234,28.964,102.607
4,NOR,34.0,INTERMEDIATE,7.0,32.496,41.716,28.866,103.078
