DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,INTERMEDIATE,1.0,,31.826,37.685,104.993
1,VER,2.0,INTERMEDIATE,2.0,28.815,31.274,37.583,97.672
1,VER,3.0,INTERMEDIATE,3.0,28.62,31.275,36.548,96.443
1,VER,4.0,INTERMEDIATE,4.0,28.103,30.649,36.353,95.105
1,VER,5.0,INTERMEDIATE,5.0,27.574,30.293,35.992,93.859
1,VER,6.0,INTERMEDIATE,6.0,27.04,29.789,35.805,92.634
1,VER,7.0,INTERMEDIATE,7.0,26.61,29.509,35.139,91.258
1,VER,8.0,INTERMEDIATE,8.0,26.684,29.016,35.066,90.766
1,VER,9.0,INTERMEDIATE,9.0,26.391,28.943,34.825,90.159
1,VER,10.0,INTERMEDIATE,10.0,26.155,28.544,34.596,89.295
1,VER,11.0,INTERMEDIATE,11.0,26.031,29.271,34.398,89.7
1,VER,12.0,INTERMEDIATE,12.0,26.076,28.639,34.276,88.991
1,VER,13.0,INTERMEDIATE,13.0,25.653,28.773,34.106,88.532
1,VER,14.0,INTERMEDIATE,14.0,25.724,28.668,34.135,88.527
1,VER,15.0,INTERMEDIATE,15.0,26.102,28.613,33.922,88.637
1,VER,16.0,INTERMEDIATE,16.0,25.6,28.325,34.213,88.138
1,VER,17.0,INTERMEDIATE,17.0,26.652,28.986,33.618,89.256
1,VER,18.0,INTERMEDIATE,18.0,25.166,27.75,33.52,86.436
1,VER,19.0,INTERMEDIATE,19.0,24.992,27.583,33.426,86.001
1,VER,20.0,INTERMEDIATE,20.0,25.118,27.425,33.722,86.265
1,VER,21.0,INTERMEDIATE,21.0,25.132,27.783,33.663,86.578
1,VER,22.0,INTERMEDIATE,22.0,25.151,27.939,33.5,86.59
1,VER,23.0,INTERMEDIATE,23.0,25.233,27.735,33.623,86.591
1,VER,24.0,INTERMEDIATE,24.0,25.371,27.888,33.775,87.034
1,VER,25.0,INTERMEDIATE,25.0,27.248,28.167,58.481,113.896
1,VER,26.0,INTERMEDIATE,1.0,32.955,33.749,43.145,109.849
1,VER,27.0,INTERMEDIATE,2.0,36.226,41.99,51.892,130.108
1,VER,28.0,INTERMEDIATE,3.0,41.038,38.234,49.044,128.316
1,VER,29.0,INTERMEDIATE,4.0,33.694,36.428,63.824,133.946
1,VER,30.0,INTERMEDIATE,5.0,24.165,27.288,34.734,86.187
1,VER,31.0,INTERMEDIATE,6.0,25.25,28.753,35.216,89.219
1,VER,32.0,INTERMEDIATE,7.0,26.62,29.377,34.718,90.715
1,VER,33.0,INTERMEDIATE,8.0,26.262,28.858,34.408,89.528
1,VER,34.0,INTERMEDIATE,9.0,25.925,28.289,33.54,87.754
1,VER,35.0,INTERMEDIATE,10.0,25.478,28.022,33.292,86.792
1,VER,36.0,INTERMEDIATE,11.0,25.431,27.746,33.092,86.269
1,VER,37.0,INTERMEDIATE,12.0,25.017,27.537,33.194,85.748
1,VER,38.0,INTERMEDIATE,13.0,25.058,27.453,32.875,85.386
1,VER,39.0,INTERMEDIATE,14.0,24.789,27.239,32.831,84.859
1,VER,40.0,INTERMEDIATE,15.0,24.919,27.152,32.64,84.711
1,VER,41.0,INTERMEDIATE,16.0,24.693,26.821,32.645,84.159
1,VER,42.0,INTERMEDIATE,17.0,24.743,26.686,32.65,84.079
1,VER,43.0,INTERMEDIATE,18.0,24.613,26.76,32.919,84.292
1,VER,44.0,INTERMEDIATE,19.0,24.691,26.683,33.007,84.381
1,VER,45.0,INTERMEDIATE,20.0,24.639,27.035,48.938,100.612
1,VER,46.0,MEDIUM,1.0,30.892,27.279,32.652,90.823
1,VER,47.0,MEDIUM,2.0,24.96,26.029,31.916,82.905
1,VER,48.0,MEDIUM,3.0,23.458,25.316,31.696,80.47
1,VER,49.0,MEDIUM,4.0,22.765,25.182,31.454,79.401
1,VER,50.0,MEDIUM,5.0,22.408,24.856,31.332,78.596
1,VER,51.0,MEDIUM,6.0,22.313,24.66,31.136,78.109
1,VER,52.0,MEDIUM,7.0,22.059,24.673,31.173,77.905
1,VER,53.0,MEDIUM,8.0,21.782,24.485,30.984,77.251
1,VER,54.0,MEDIUM,9.0,22.271,39.145,38.473,99.889
1,VER,55.0,MEDIUM,10.0,34.529,44.471,51.789,130.789
1,VER,56.0,MEDIUM,11.0,34.418,42.492,47.082,123.992
