DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,MEDIUM,1.0,,29.65,43.295,101.528
1,VER,2.0,MEDIUM,2.0,26.651,30.091,43.361,100.103
1,VER,3.0,MEDIUM,3.0,27.011,30.19,43.293,100.494
1,VER,4.0,MEDIUM,4.0,26.923,30.187,43.463,100.573
1,VER,5.0,MEDIUM,5.0,27.106,30.299,43.514,100.919
1,VER,6.0,MEDIUM,6.0,27.114,30.431,43.602,101.147
1,VER,7.0,MEDIUM,7.0,27.164,30.362,43.592,101.118
1,VER,8.0,MEDIUM,8.0,27.129,30.395,43.586,101.11
1,VER,9.0,MEDIUM,9.0,27.111,30.392,43.652,101.155
1,VER,10.0,MEDIUM,10.0,27.172,30.519,43.733,101.424
1,VER,11.0,MEDIUM,11.0,27.17,30.646,43.585,101.401
1,VER,12.0,MEDIUM,12.0,27.121,30.558,43.639,101.318
1,VER,13.0,MEDIUM,13.0,27.05,30.576,48.9,106.526
1,VER,14.0,HARD,1.0,45.631,30.099,43.344,119.074
1,VER,15.0,HARD,2.0,26.64,29.773,43.178,99.591
1,VER,16.0,HARD,3.0,26.616,30.137,43.232,99.985
1,VER,17.0,HARD,4.0,26.503,29.874,43.142,99.519
1,VER,18.0,HARD,5.0,26.781,30.075,43.214,100.07
1,VER,19.0,HARD,6.0,26.72,30.245,43.174,100.139
1,VER,20.0,HARD,7.0,26.759,29.937,43.385,100.081
1,VER,21.0,HARD,8.0,26.737,30.083,43.67,100.49
1,VER,22.0,HARD,9.0,35.865,40.703,57.728,134.296
1,VER,23.0,HARD,10.0,35.57,39.478,62.89,137.938
1,VER,24.0,HARD,1.0,54.357,47.051,64.876,
1,VER,25.0,HARD,2.0,38.16,46.49,60.4,145.05
1,VER,26.0,HARD,3.0,35.833,43.649,77.86,
1,VER,27.0,HARD,4.0,26.034,29.474,51.615,107.123
1,VER,28.0,HARD,5.0,34.861,50.842,65.746,
1,VER,29.0,HARD,6.0,39.616,44.166,62.788,146.57
1,VER,30.0,HARD,7.0,36.62,44.106,59.392,140.118
1,VER,31.0,HARD,8.0,35.883,44.116,68.771,148.77
1,VER,32.0,HARD,9.0,26.06,29.829,42.715,98.604
1,VER,33.0,HARD,10.0,26.22,29.365,42.821,98.406
1,VER,34.0,HARD,11.0,26.212,29.467,42.747,98.426
1,VER,35.0,HARD,12.0,26.531,29.475,42.759,98.765
