DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
4,NOR,1.0,MEDIUM,1.0,,27.269,22.935,80.878
4,NOR,2.0,MEDIUM,2.0,26.061,27.155,22.918,76.134
4,NOR,3.0,MEDIUM,3.0,25.995,27.72,22.781,76.496
4,NOR,4.0,MEDIUM,4.0,25.836,27.683,22.785,76.304
4,NOR,5.0,MEDIUM,5.0,25.816,27.72,22.735,76.271
4,NOR,6.0,MEDIUM,6.0,25.711,27.752,22.762,76.225
4,NOR,7.0,MEDIUM,7.0,25.871,27.748,22.776,76.395
4,NOR,8.0,MEDIUM,8.0,25.599,27.831,22.739,76.169
4,NOR,9.0,MEDIUM,9.0,25.735,27.79,22.952,76.477
4,NOR,10.0,MEDIUM,10.0,25.695,27.846,22.751,76.292
4,NOR,11.0,MEDIUM,11.0,25.733,27.862,22.708,76.303
4,NOR,12.0,MEDIUM,12.0,25.704,27.781,22.715,76.2
4,NOR,13.0,MEDIUM,13.0,25.881,27.675,22.686,76.242
4,NOR,14.0,MEDIUM,14.0,25.717,27.99,22.763,76.47
4,NOR,15.0,MEDIUM,15.0,25.761,27.727,22.739,76.227
4,NOR,16.0,MEDIUM,16.0,25.6,27.593,22.496,75.689
4,NOR,17.0,MEDIUM,17.0,26.095,27.634,22.356,76.085
4,NOR,18.0,MEDIUM,18.0,25.695,27.64,22.731,76.066
4,NOR,19.0,MEDIUM,19.0,25.522,27.699,22.678,75.899
4,NOR,20.0,MEDIUM,20.0,25.647,27.795,22.601,76.043
4,NOR,21.0,MEDIUM,21.0,25.557,27.582,22.59,75.729
4,NOR,22.0,MEDIUM,22.0,25.536,27.55,22.71,75.796
4,NOR,23.0,MEDIUM,23.0,25.513,27.66,22.611,75.784
4,NOR,24.0,MEDIUM,24.0,25.568,27.551,22.573,75.692
4,NOR,25.0,MEDIUM,25.0,25.53,27.516,22.663,75.709
4,NOR,26.0,MEDIUM,26.0,25.544,27.623,22.706,75.873
4,NOR,27.0,MEDIUM,27.0,25.533,27.558,22.653,75.744
4,NOR,28.0,MEDIUM,28.0,25.572,27.572,26.097,79.241
4,NOR,29.0,HARD,1.0,45.664,27.135,22.351,95.15
4,NOR,30.0,HARD,2.0,25.3,27.055,22.216,74.571
4,NOR,31.0,HARD,3.0,25.109,27.052,22.23,74.391
4,NOR,32.0,HARD,4.0,25.183,26.976,22.317,74.476
4,NOR,33.0,HARD,5.0,25.107,27.127,22.255,74.489
4,NOR,34.0,HARD,6.0,25.264,26.997,22.23,74.491
4,NOR,35.0,HARD,7.0,25.149,27.15,22.175,74.474
4,NOR,36.0,HARD,8.0,25.111,27.004,22.197,74.312
4,NOR,37.0,HARD,9.0,25.373,27.081,22.27,74.724
4,NOR,38.0,HARD,10.0,25.185,27.171,22.201,74.557
4,NOR,39.0,HARD,11.0,25.151,27.261,22.295,74.707
4,NOR,40.0,HARD,12.0,25.223,27.22,22.196,74.639
4,NOR,41.0,HARD,13.0,25.386,27.204,22.42,75.01
4,NOR,42.0,HARD,14.0,25.533,27.348,22.324,75.205
4,NOR,43.0,HARD,15.0,25.272,27.105,22.414,74.791
