DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,MEDIUM,1.0,,27.949,27.0,82.881
1,VER,2.0,MEDIUM,2.0,25.604,27.925,27.067,80.596
1,VER,3.0,MEDIUM,3.0,25.743,28.104,27.025,80.872
1,VER,4.0,MEDIUM,4.0,25.651,27.991,27.029,80.671
1,VER,5.0,MEDIUM,5.0,25.602,28.041,27.091,80.734
1,VER,6.0,MEDIUM,6.0,25.697,28.085,27.086,80.868
1,VER,7.0,MEDIUM,7.0,25.734,28.186,26.948,80.868
1,VER,8.0,MEDIUM,8.0,25.71,28.135,26.917,80.762
1,VER,9.0,MEDIUM,9.0,25.629,27.978,26.936,80.543
1,VER,10.0,MEDIUM,10.0,25.633,28.203,27.257,81.093
1,VER,11.0,MEDIUM,11.0,25.704,28.03,27.151,80.885
1,VER,12.0,MEDIUM,12.0,25.804,28.255,27.228,81.287
1,VER,13.0,MEDIUM,13.0,25.696,28.234,27.143,81.073
1,VER,14.0,MEDIUM,14.0,25.581,28.272,27.129,80.982
1,VER,15.0,MEDIUM,15.0,25.748,28.272,27.303,81.323
1,VER,16.0,MEDIUM,16.0,25.738,28.326,27.298,81.362
1,VER,17.0,MEDIUM,17.0,25.732,28.315,27.281,81.328
1,VER,18.0,MEDIUM,18.0,25.765,28.307,27.339,81.411
1,VER,19.0,MEDIUM,19.0,25.826,28.376,27.315,81.517
1,VER,20.0,MEDIUM,20.0,25.731,28.433,27.386,81.55
1,VER,21.0,MEDIUM,21.0,25.888,28.323,27.397,81.608
1,VER,22.0,MEDIUM,22.0,25.802,28.448,27.513,81.763
1,VER,23.0,MEDIUM,23.0,25.778,28.626,27.584,81.988
1,VER,24.0,MEDIUM,24.0,25.862,28.604,31.746,86.212
1,VER,25.0,HARD,1.0,48.939,27.886,26.777,103.602
1,VER,26.0,HARD,2.0,25.444,28.057,26.981,80.482
1,VER,27.0,HARD,3.0,25.567,28.163,27.213,80.943
1,VER,28.0,HARD,4.0,25.598,28.087,27.024,80.709
1,VER,29.0,HARD,5.0,25.528,28.108,26.979,80.615
1,VER,30.0,HARD,6.0,25.523,28.17,26.878,80.571
1,VER,31.0,HARD,7.0,25.429,28.108,27.008,80.545
1,VER,32.0,HARD,8.0,25.456,28.238,27.019,80.713
1,VER,33.0,HARD,9.0,25.78,28.264,27.097,81.141
1,VER,34.0,HARD,10.0,25.491,28.155,27.114,80.76
1,VER,35.0,HARD,11.0,25.532,28.176,27.092,80.8
1,VER,36.0,HARD,12.0,25.508,28.082,27.114,80.704
1,VER,37.0,HARD,13.0,25.385,28.131,26.968,80.484
1,VER,38.0,HARD,14.0,25.301,28.086,26.979,80.366
1,VER,39.0,HARD,15.0,25.552,28.024,26.971,80.547
1,VER,40.0,HARD,16.0,25.473,28.046,27.126,80.645
1,VER,41.0,HARD,17.0,25.483,28.075,27.117,80.675
1,VER,42.0,HARD,18.0,25.655,28.098,27.079,80.832
1,VER,43.0,HARD,19.0,25.58,28.096,27.081,80.757
1,VER,44.0,HARD,20.0,25.442,28.139,27.253,80.834
1,VER,45.0,HARD,21.0,25.628,28.332,27.404,81.364
1,VER,46.0,HARD,22.0,25.324,28.278,27.098,80.7
1,VER,47.0,HARD,23.0,25.657,28.143,27.109,80.909
1,VER,48.0,HARD,24.0,25.612,28.25,27.061,80.923
1,VER,49.0,HARD,25.0,25.522,28.202,27.099,80.823
1,VER,50.0,HARD,26.0,25.456,28.139,27.222,80.817
1,VER,51.0,HARD,27.0,25.541,28.085,27.11,80.736
1,VER,52.0,HARD,28.0,25.536,28.206,26.814,80.556
1,VER,53.0,HARD,29.0,25.396,28.185,27.057,80.638
1,VER,54.0,HARD,30.0,25.422,28.128,27.368,80.918
1,VER,55.0,HARD,31.0,25.67,28.278,27.014,80.962
1,VER,56.0,HARD,32.0,25.434,28.118,26.938,80.49
1,VER,57.0,HARD,33.0,25.479,27.981,27.051,80.511
1,VER,58.0,HARD,34.0,25.436,28.125,26.952,80.513
1,VER,59.0,HARD,35.0,25.461,27.898,27.008,80.367
1,VER,60.0,HARD,36.0,25.549,28.01,27.078,80.637
1,VER,61.0,HARD,37.0,25.458,28.148,27.092,80.698
1,VER,62.0,HARD,38.0,25.616,27.997,27.14,80.753
1,VER,63.0,HARD,39.0,25.644,28.107,27.284,81.035
4,NOR,1.0,MEDIUM,1.0,,28.266,26.966,83.764
4,NOR,2.0,MEDIUM,2.0,25.691,28.003,26.979,80.673
4,NOR,3.0,MEDIUM,3.0,25.817,28.151,26.916,80.884
4,NOR,4.0,MEDIUM,4.0,25.779,28.307,27.119,81.205
4,NOR,5.0,MEDIUM,5.0,25.638,28.344,27.064,81.046
4,NOR,6.0,MEDIUM,6.0,25.69,28.166,27.053,80.909
4,NOR,7.0,MEDIUM,7.0,25.621,28.191,27.111,80.923
4,NOR,8.0,MEDIUM,8.0,25.599,28.337,27.061,80.997
4,NOR,9.0,MEDIUM,9.0,25.644,28.262,27.146,81.052
4,NOR,10.0,MEDIUM,10.0,25.606,28.297,27.369,81.272
4,NOR,11.0,MEDIUM,11.0,25.604,28.347,27.25,81.201
4,NOR,12.0,MEDIUM,12.0,25.632,28.416,27.39,81.438
4,NOR,13.0,MEDIUM,13.0,25.755,28.508,27.472,81.735
4,NOR,14.0,MEDIUM,14.0,25.665,28.403,27.648,81.716
4,NOR,15.0,MEDIUM,15.0,25.774,28.454,27.438,81.666
4,NOR,16.0,MEDIUM,16.0,25.487,28.489,27.547,81.523
4,NOR,17.0,MEDIUM,17.0,25.588,28.529,27.448,81.565
4,NOR,18.0,MEDIUM,18.0,25.562,28.557,27.498,81.617
4,NOR,19.0,MEDIUM,19.0,25.683,28.578,27.532,81.793
4,NOR,20.0,MEDIUM,20.0,25.693,28.566,27.624,81.883
4,NOR,21.0,MEDIUM,21.0,25.722,28.526,27.607,81.855
4,NOR,22.0,MEDIUM,22.0,25.645,28.672,31.79,86.107
4,NOR,23.0,HARD,2.0,49.204,28.332,27.157,104.693
4,NOR,24.0,HARD,3.0,25.153,28.266,27.049,80.468
4,NOR,25.0,HARD,4.0,25.708,28.222,27.047,80.977
4,NOR,26.0,HARD,5.0,25.465,28.369,27.065,80.899
4,NOR,27.0,HARD,6.0,25.492,28.371,27.166,81.029
4,NOR,28.0,HARD,7.0,25.455,28.409,27.213,81.077
4,NOR,29.0,HARD,8.0,25.427,28.39,27.116,80.933
4,NOR,30.0,HARD,9.0,25.371,28.316,27.033,80.72
4,NOR,31.0,HARD,10.0,25.3,28.234,27.094,80.628
4,NOR,32.0,HARD,11.0,25.444,28.367,27.112,80.923
4,NOR,33.0,HARD,12.0,25.471,28.174,27.119,80.764
4,NOR,34.0,HARD,13.0,25.436,28.243,27.097,80.776
4,NOR,35.0,HARD,14.0,25.264,28.249,27.174,80.687
4,NOR,36.0,HARD,15.0,25.258,28.232,27.166,80.656
4,NOR,37.0,HARD,16.0,25.333,28.274,27.107,80.714
4,NOR,38.0,HARD,17.0,25.11,28.231,27.117,80.458
4,NOR,39.0,HARD,18.0,25.357,28.209,27.025,80.591
4,NOR,40.0,HARD,19.0,25.255,28.371,27.399,81.025
4,NOR,41.0,HARD,20.0,25.407,28.47,27.225,81.102
4,NOR,42.0,HARD,21.0,25.245,28.422,27.161,80.828
4,NOR,43.0,HARD,22.0,25.317,28.456,27.065,80.838
4,NOR,44.0,HARD,23.0,25.487,28.206,27.015,80.708
4,NOR,45.0,HARD,24.0,25.291,28.14,26.908,80.339
4,NOR,46.0,HARD,25.0,25.221,28.349,26.976,80.546
4,NOR,47.0,HARD,26.0,25.346,28.29,27.18,80.816
4,NOR,48.0,HARD,27.0,25.477,28.447,26.879,80.803
4,NOR,49.0,HARD,28.0,25.274,28.219,26.992,80.485
4,NOR,50.0,HARD,29.0,25.144,28.055,26.84,80.039
4,NOR,51.0,HARD,30.0,25.252,28.191,26.924,80.367
4,NOR,52.0,HARD,31.0,25.297,28.229,27.056,80.582
4,NOR,53.0,HARD,32.0,25.07,28.243,26.828,80.141
4,NOR,54.0,HARD,33.0,25.143,27.882,26.969,79.994
4,NOR,55.0,HARD,34.0,25.19,28.03,26.962,80.182
4,NOR,56.0,HARD,35.0,25.239,28.044,26.885,80.168
4,NOR,57.0,HARD,36.0,25.231,27.953,26.921,80.105
4,NOR,58.0,HARD,37.0,25.315,28.299,26.941,80.555
4,NOR,59.0,HARD,38.0,25.314,28.206,26.969,80.489
4,NOR,60.0,HARD,39.0,25.214,28.162,26.863,80.239
4,NOR,61.0,HARD,40.0,25.253,28.353,26.896,80.502
4,NOR,62.0,HARD,41.0,25.478,28.277,26.809,80.564
4,NOR,63.0,HARD,42.0,25.396,28.168,27.179,80.743
16,LEC,1.0,MEDIUM,1.0,,28.597,27.068,84.58
16,LEC,2.0,MEDIUM,2.0,25.685,28.145,27.096,80.926
16,LEC,3.0,MEDIUM,3.0,25.573,28.359,26.999,80.931
16,LEC,4.0,MEDIUM,4.0,25.797,28.442,27.04,81.279
16,LEC,5.0,MEDIUM,5.0,25.717,28.319,27.086,81.122
16,LEC,6.0,MEDIUM,6.0,25.77,28.344,26.929,81.043
16,LEC,7.0,MEDIUM,7.0,25.716,28.274,27.035,81.025
16,LEC,8.0,MEDIUM,8.0,25.71,28.225,27.181,81.116
16,LEC,9.0,MEDIUM,9.0,25.758,28.276,27.181,81.215
16,LEC,10.0,MEDIUM,10.0,25.692,28.44,27.255,81.387
16,LEC,11.0,MEDIUM,11.0,25.707,28.229,27.211,81.147
16,LEC,12.0,MEDIUM,12.0,25.746,28.344,27.259,81.349
16,LEC,13.0,MEDIUM,13.0,25.803,28.424,27.215,81.442
16,LEC,14.0,MEDIUM,14.0,25.821,28.457,27.383,81.661
16,LEC,15.0,MEDIUM,15.0,25.827,28.372,27.265,81.464
16,LEC,16.0,MEDIUM,16.0,25.796,28.573,27.595,81.964
16,LEC,17.0,MEDIUM,17.0,25.807,28.538,27.369,81.714
16,LEC,18.0,MEDIUM,18.0,25.807,28.573,27.339,81.719
16,LEC,19.0,MEDIUM,19.0,25.867,28.461,27.344,81.672
16,LEC,20.0,MEDIUM,20.0,25.794,28.464,27.499,81.757
16,LEC,21.0,MEDIUM,21.0,25.857,28.396,27.416,81.669
16,LEC,22.0,MEDIUM,22.0,25.88,28.604,27.534,82.018
16,LEC,23.0,MEDIUM,23.0,26.057,28.558,27.328,81.943
16,LEC,24.0,MEDIUM,24.0,25.792,28.496,27.312,81.6
16,LEC,25.0,MEDIUM,25.0,25.762,28.527,31.734,86.023
16,LEC,26.0,HARD,1.0,49.059,28.385,27.562,105.006
16,LEC,27.0,HARD,2.0,25.221,27.79,26.924,79.935
16,LEC,28.0,HARD,3.0,25.853,28.14,26.935,80.928
16,LEC,29.0,HARD,4.0,25.598,28.041,26.863,80.502
16,LEC,30.0,HARD,5.0,25.59,27.989,26.847,80.426
16,LEC,31.0,HARD,6.0,25.705,28.16,27.079,80.944
16,LEC,32.0,HARD,7.0,25.649,28.069,26.927,80.645
16,LEC,33.0,HARD,8.0,25.646,27.998,26.945,80.589
16,LEC,34.0,HARD,9.0,25.619,28.181,26.926,80.726
16,LEC,35.0,HARD,10.0,25.666,28.158,26.988,80.812
16,LEC,36.0,HARD,11.0,25.563,28.078,26.921,80.562
16,LEC,37.0,HARD,12.0,25.378,28.072,26.91,80.36
16,LEC,38.0,HARD,13.0,25.351,27.968,26.875,80.194
16,LEC,39.0,HARD,14.0,25.483,28.06,26.964,80.507
16,LEC,40.0,HARD,15.0,25.464,28.026,27.092,80.582
16,LEC,41.0,HARD,16.0,25.484,28.179,27.265,80.928
16,LEC,42.0,HARD,17.0,25.149,28.133,26.958,80.24
16,LEC,43.0,HARD,18.0,25.404,28.344,27.194,80.942
16,LEC,44.0,HARD,19.0,25.218,28.361,27.123,80.702
16,LEC,45.0,HARD,20.0,25.276,28.216,26.939,80.431
16,LEC,46.0,HARD,21.0,25.252,28.319,27.025,80.596
16,LEC,47.0,HARD,22.0,25.256,28.344,27.713,81.313
16,LEC,48.0,HARD,23.0,25.89,28.543,27.08,81.513
16,LEC,49.0,HARD,24.0,25.538,28.178,27.082,80.798
16,LEC,50.0,HARD,25.0,25.529,28.005,26.88,80.414
16,LEC,51.0,HARD,26.0,25.492,27.991,26.881,80.364
16,LEC,52.0,HARD,27.0,25.427,28.048,26.883,80.358
16,LEC,53.0,HARD,28.0,25.526,28.4,26.963,80.889
16,LEC,54.0,HARD,29.0,25.112,28.194,27.092,80.398
16,LEC,55.0,HARD,30.0,25.635,28.092,26.909,80.636
16,LEC,56.0,HARD,31.0,25.393,28.095,26.927,80.415
