DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
81,PIA,1.0,MEDIUM,1.0,,29.625,23.513,86.746
81,PIA,2.0,MEDIUM,2.0,29.924,30.425,23.689,84.038
81,PIA,3.0,MEDIUM,3.0,30.303,30.297,23.801,84.401
81,PIA,4.0,MEDIUM,4.0,30.145,30.338,23.632,84.115
81,PIA,5.0,MEDIUM,5.0,30.091,30.157,23.548,83.796
81,PIA,6.0,MEDIUM,6.0,30.008,30.248,23.59,83.846
81,PIA,7.0,MEDIUM,7.0,30.163,30.201,23.746,84.11
81,PIA,8.0,MEDIUM,8.0,30.068,30.192,23.632,83.892
81,PIA,9.0,MEDIUM,9.0,30.054,30.348,23.804,84.206
81,PIA,10.0,MEDIUM,10.0,30.286,30.286,23.685,84.257
81,PIA,11.0,MEDIUM,11.0,30.206,30.227,23.629,84.062
81,PIA,12.0,MEDIUM,12.0,30.077,30.128,23.688,83.893
81,PIA,13.0,MEDIUM,13.0,30.139,30.039,23.709,83.887
81,PIA,14.0,MEDIUM,14.0,30.389,30.334,23.96,84.683
81,PIA,15.0,MEDIUM,15.0,30.285,30.204,23.81,84.299
81,PIA,16.0,MEDIUM,16.0,30.211,30.174,23.852,84.237
81,PIA,17.0,MEDIUM,17.0,30.29,30.207,23.751,84.248
81,PIA,18.0,MEDIUM,18.0,30.228,30.152,26.116,86.496
81,PIA,19.0,HARD,2.0,48.506,30.391,23.582,102.479
81,PIA,20.0,HARD,3.0,29.964,30.107,23.532,83.603
81,PIA,21.0,HARD,4.0,30.019,29.893,23.562,83.474
81,PIA,22.0,HARD,5.0,30.038,29.836,23.393,83.267
81,PIA,23.0,HARD,6.0,29.975,29.689,23.438,83.102
81,PIA,24.0,HARD,7.0,29.951,29.712,23.432,83.095
81,PIA,25.0,HARD,8.0,30.01,29.615,23.337,82.962
81,PIA,26.0,HARD,9.0,29.83,29.559,23.265,82.654
81,PIA,27.0,HARD,10.0,29.915,29.536,23.296,82.747
81,PIA,28.0,HARD,11.0,29.906,29.44,23.444,82.79
81,PIA,29.0,HARD,12.0,29.853,29.45,23.401,82.704
81,PIA,30.0,HARD,13.0,29.913,29.524,23.604,83.041
81,PIA,31.0,HARD,14.0,29.918,29.539,23.715,83.172
81,PIA,32.0,HARD,15.0,29.956,29.712,23.729,83.397
81,PIA,33.0,HARD,16.0,30.044,30.614,25.205,85.863
81,PIA,34.0,HARD,17.0,30.406,30.392,23.931,84.729
81,PIA,35.0,HARD,18.0,30.296,30.278,23.983,84.557
81,PIA,36.0,HARD,19.0,30.178,30.143,23.872,84.193
81,PIA,37.0,HARD,20.0,30.239,30.152,23.993,84.384
81,PIA,38.0,HARD,21.0,30.23,30.106,23.835,84.171
81,PIA,39.0,HARD,22.0,30.326,30.158,23.756,84.24
81,PIA,40.0,HARD,23.0,30.155,29.872,23.733,83.76
81,PIA,41.0,HARD,24.0,30.13,29.953,23.867,83.95
81,PIA,42.0,HARD,25.0,30.189,30.002,23.88,84.071
81,PIA,43.0,HARD,26.0,30.145,30.214,23.841,84.2
81,PIA,44.0,HARD,27.0,30.189,30.028,23.816,84.033
81,PIA,45.0,HARD,28.0,30.242,29.993,23.869,84.104
81,PIA,46.0,HARD,29.0,30.174,30.104,23.933,84.211
81,PIA,47.0,HARD,30.0,30.222,30.039,25.991,86.252
81,PIA,48.0,MEDIUM,2.0,48.247,29.801,23.336,101.384
81,PIA,49.0,MEDIUM,3.0,29.591,29.403,23.396,82.39
81,PIA,50.0,MEDIUM,4.0,29.517,29.03,23.316,81.863
81,PIA,51.0,MEDIUM,5.0,29.609,29.013,23.094,81.716
81,PIA,52.0,MEDIUM,6.0,29.565,28.964,23.332,81.861
81,PIA,53.0,MEDIUM,7.0,29.562,29.328,23.477,82.367
81,PIA,54.0,MEDIUM,8.0,29.613,29.11,23.438,82.161
81,PIA,55.0,MEDIUM,9.0,29.665,28.934,23.259,81.858
81,PIA,56.0,MEDIUM,10.0,29.542,29.001,23.648,82.191
81,PIA,57.0,MEDIUM,11.0,29.777,29.164,23.564,82.505
81,PIA,58.0,MEDIUM,12.0,29.735,29.367,23.329,82.431
81,PIA,59.0,MEDIUM,13.0,29.607,28.881,23.52,82.008
81,PIA,60.0,MEDIUM,14.0,29.774,29.283,23.485,82.542
81,PIA,61.0,MEDIUM,15.0,29.59,29.144,23.326,82.06
81,PIA,62.0,MEDIUM,16.0,29.725,29.072,23.36,82.157
81,PIA,63.0,MEDIUM,17.0,29.775,29.213,23.471,82.459
81,PIA,64.0,MEDIUM,18.0,29.976,29.232,23.852,83.06
81,PIA,65.0,MEDIUM,19.0,29.918,29.444,23.409,82.771
81,PIA,66.0,MEDIUM,20.0,29.888,29.244,23.513,82.645
81,PIA,67.0,MEDIUM,21.0,29.825,29.262,23.533,82.62
81,PIA,68.0,MEDIUM,22.0,30.041,29.395,23.563,82.999
81,PIA,69.0,MEDIUM,23.0,29.801,29.253,23.543,82.597
81,PIA,70.0,MEDIUM,24.0,29.805,29.446,23.676,82.927
4,NOR,1.0,MEDIUM,1.0,,30.754,23.631,89.389
4,NOR,2.0,MEDIUM,2.0,30.091,30.38,23.769,84.24
4,NOR,3.0,MEDIUM,3.0,30.228,30.495,23.67,84.393
4,NOR,4.0,MEDIUM,4.0,30.223,29.904,23.5,83.627
4,NOR,5.0,MEDIUM,5.0,30.284,29.917,23.603,83.804
4,NOR,6.0,MEDIUM,6.0,30.415,29.914,23.716,84.045
4,NOR,7.0,MEDIUM,7.0,30.296,29.973,23.816,84.085
4,NOR,8.0,MEDIUM,8.0,30.337,29.946,23.744,84.027
4,NOR,9.0,MEDIUM,9.0,30.252,30.14,23.833,84.225
4,NOR,10.0,MEDIUM,10.0,30.388,30.145,23.975,84.508
4,NOR,11.0,MEDIUM,11.0,30.398,30.098,23.749,84.245
4,NOR,12.0,MEDIUM,12.0,30.312,29.918,23.812,84.042
4,NOR,13.0,MEDIUM,13.0,30.361,30.084,23.898,84.343
4,NOR,14.0,MEDIUM,14.0,30.254,30.1,24.013,84.367
4,NOR,15.0,MEDIUM,15.0,30.317,30.107,23.91,84.334
4,NOR,16.0,MEDIUM,16.0,30.267,30.153,23.876,84.296
4,NOR,17.0,MEDIUM,17.0,30.305,30.116,26.064,86.485
4,NOR,18.0,HARD,2.0,48.578,29.961,23.268,101.807
4,NOR,19.0,HARD,3.0,30.134,29.999,23.646,83.779
4,NOR,20.0,HARD,4.0,29.963,29.907,23.585,83.455
4,NOR,21.0,HARD,5.0,30.219,29.951,23.493,83.663
4,NOR,22.0,HARD,6.0,30.121,29.898,23.495,83.514
4,NOR,23.0,HARD,7.0,30.119,29.755,23.545,83.419
4,NOR,24.0,HARD,8.0,30.067,29.814,23.473,83.354
4,NOR,25.0,HARD,9.0,29.964,29.622,23.478,83.064
4,NOR,26.0,HARD,10.0,29.964,29.63,23.419,83.013
4,NOR,27.0,HARD,11.0,29.957,29.494,23.421,82.872
4,NOR,28.0,HARD,12.0,29.98,29.405,23.476,82.861
4,NOR,29.0,HARD,13.0,29.948,29.464,23.408,82.82
4,NOR,30.0,HARD,14.0,30.077,29.548,23.698,83.323
4,NOR,31.0,HARD,15.0,30.004,29.563,23.68,83.247
4,NOR,32.0,HARD,16.0,30.018,29.732,23.706,83.456
4,NOR,33.0,HARD,17.0,30.06,29.926,24.006,83.992
4,NOR,34.0,HARD,18.0,30.284,29.958,23.912,84.154
4,NOR,35.0,HARD,19.0,30.275,29.976,23.949,84.2
4,NOR,36.0,HARD,20.0,30.344,29.841,23.911,84.096
4,NOR,37.0,HARD,21.0,30.306,30.072,23.876,84.254
4,NOR,38.0,HARD,22.0,30.252,29.977,23.925,84.154
4,NOR,39.0,HARD,23.0,30.367,30.038,23.781,84.186
4,NOR,40.0,HARD,24.0,30.219,29.989,23.872,84.08
4,NOR,41.0,HARD,25.0,30.268,30.092,23.829,84.189
4,NOR,42.0,HARD,26.0,30.22,29.973,23.808,84.001
4,NOR,43.0,HARD,27.0,30.209,29.997,23.857,84.063
4,NOR,44.0,HARD,28.0,30.414,30.049,23.967,84.43
4,NOR,45.0,HARD,29.0,30.338,29.89,26.1,86.328
4,NOR,46.0,MEDIUM,2.0,47.356,28.782,22.813,98.951
4,NOR,47.0,MEDIUM,3.0,29.659,30.171,23.46,83.29
4,NOR,48.0,MEDIUM,4.0,29.445,29.261,23.248,81.954
4,NOR,49.0,MEDIUM,5.0,29.756,29.223,23.13,82.109
4,NOR,50.0,MEDIUM,6.0,29.583,29.069,23.06,81.712
4,NOR,51.0,MEDIUM,7.0,29.79,29.085,23.101,81.976
4,NOR,52.0,MEDIUM,8.0,29.774,29.337,23.318,82.429
4,NOR,53.0,MEDIUM,9.0,29.548,29.12,23.222,81.89
