DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
16,LEC,1.0,MEDIUM,1.0,,29.989,28.398,88.179
16,LEC,2.0,MEDIUM,2.0,27.707,29.265,28.424,85.396
16,LEC,3.0,MEDIUM,3.0,27.679,29.001,28.499,85.179
16,LEC,4.0,MEDIUM,4.0,27.653,28.883,28.274,84.81
16,LEC,5.0,MEDIUM,5.0,27.63,28.79,28.183,84.603
16,LEC,6.0,MEDIUM,6.0,27.596,28.945,28.122,84.663
16,LEC,7.0,MEDIUM,7.0,27.645,28.701,28.088,84.434
16,LEC,8.0,MEDIUM,8.0,27.557,28.771,28.241,84.569
16,LEC,9.0,MEDIUM,9.0,27.542,28.781,28.039,84.362
16,LEC,10.0,MEDIUM,10.0,27.515,28.84,28.077,84.432
16,LEC,11.0,MEDIUM,11.0,27.633,28.951,28.262,84.846
16,LEC,12.0,MEDIUM,12.0,27.68,28.971,28.265,84.916
16,LEC,13.0,MEDIUM,13.0,27.812,29.177,28.54,85.529
16,LEC,14.0,MEDIUM,14.0,27.839,29.217,28.55,85.606
16,LEC,15.0,MEDIUM,15.0,28.034,29.361,32.797,90.192
16,LEC,16.0,HARD,1.0,47.985,28.75,28.153,104.888
16,LEC,17.0,HARD,2.0,27.458,28.73,28.082,84.27
16,LEC,18.0,HARD,3.0,27.408,28.571,27.896,83.875
16,LEC,19.0,HARD,4.0,27.354,28.722,28.127,84.203
16,LEC,20.0,HARD,5.0,27.483,28.623,27.72,83.826
16,LEC,21.0,HARD,6.0,27.423,28.725,27.732,83.88
16,LEC,22.0,HARD,7.0,27.358,28.484,27.926,83.768
16,LEC,23.0,HARD,8.0,27.438,28.501,27.925,83.864
16,LEC,24.0,HARD,9.0,27.347,28.551,27.742,83.64
16,LEC,25.0,HARD,10.0,27.38,28.445,27.765,83.59
16,LEC,26.0,HARD,11.0,27.356,28.307,27.658,83.321
16,LEC,27.0,HARD,12.0,27.38,28.412,27.742,83.534
16,LEC,28.0,HARD,13.0,27.337,28.297,27.65,83.284
16,LEC,29.0,HARD,14.0,27.336,28.301,27.592,83.229
16,LEC,30.0,HARD,15.0,27.361,28.259,27.739,83.359
16,LEC,31.0,HARD,16.0,27.312,28.74,27.92,83.972
16,LEC,32.0,HARD,17.0,27.246,28.382,27.646,83.274
16,LEC,33.0,HARD,18.0,27.189,28.364,27.673,83.226
16,LEC,34.0,HARD,19.0,27.324,28.408,27.698,83.43
16,LEC,35.0,HARD,20.0,27.393,28.512,27.776,83.681
16,LEC,36.0,HARD,21.0,27.31,28.493,27.911,83.714
16,LEC,37.0,HARD,22.0,27.279,28.457,27.814,83.55
16,LEC,38.0,HARD,23.0,27.372,28.466,27.786,83.624
16,LEC,39.0,HARD,24.0,27.448,28.564,27.706,83.718
16,LEC,40.0,HARD,25.0,27.399,28.465,27.826,83.69
16,LEC,41.0,HARD,26.0,27.372,28.44,27.799,83.611
16,LEC,42.0,HARD,27.0,27.424,28.458,27.788,83.67
