DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,MEDIUM,1.0,,64.045,31.458,130.735
1,VER,2.0,MEDIUM,2.0,,56.617,39.032,
1,VER,3.0,MEDIUM,3.0,,42.768,18.603,
1,VER,4.0,MEDIUM,4.0,34.772,43.042,18.658,96.472
1,VER,5.0,MEDIUM,5.0,34.69,43.035,18.712,96.437
1,VER,6.0,MEDIUM,6.0,34.965,43.196,18.694,96.855
1,VER,7.0,MEDIUM,7.0,34.987,43.3,18.683,96.97
1,VER,8.0,MEDIUM,8.0,35.112,43.412,18.805,97.329
1,VER,9.0,MEDIUM,9.0,35.132,43.298,18.748,97.178
1,VER,10.0,MEDIUM,10.0,35.45,43.353,18.787,97.59
1,VER,11.0,MEDIUM,11.0,35.32,43.622,18.832,97.774
1,VER,12.0,MEDIUM,12.0,35.415,43.468,18.87,97.753
1,VER,13.0,MEDIUM,13.0,35.365,43.511,18.851,97.727
1,VER,14.0,MEDIUM,14.0,35.432,43.612,18.866,97.91
1,VER,15.0,MEDIUM,15.0,35.465,43.565,18.824,97.854
1,VER,16.0,MEDIUM,16.0,35.594,43.595,21.083,100.272
1,VER,17.0,MEDIUM,1.0,54.634,43.113,18.731,116.478
1,VER,18.0,MEDIUM,2.0,34.981,43.108,18.733,96.822
1,VER,19.0,MEDIUM,3.0,34.857,42.769,18.626,96.252
1,VER,20.0,MEDIUM,4.0,34.885,42.974,18.543,96.402
1,VER,21.0,MEDIUM,5.0,34.242,42.833,18.542,95.617
1,VER,22.0,MEDIUM,6.0,34.914,42.902,18.568,96.384
1,VER,23.0,MEDIUM,7.0,34.81,42.855,18.54,96.205
1,VER,24.0,MEDIUM,8.0,34.895,43.008,18.629,96.532
1,VER,25.0,MEDIUM,9.0,34.677,43.075,18.585,96.337
1,VER,26.0,MEDIUM,10.0,34.874,42.952,18.611,96.437
1,VER,27.0,MEDIUM,11.0,34.936,42.975,18.743,96.654
1,VER,28.0,MEDIUM,12.0,34.883,43.01,18.603,96.496
1,VER,29.0,MEDIUM,13.0,35.02,43.016,18.619,96.655
1,VER,30.0,MEDIUM,14.0,35.05,43.132,18.667,96.849
1,VER,31.0,MEDIUM,15.0,34.998,43.147,18.616,96.761
1,VER,32.0,MEDIUM,16.0,35.134,43.092,18.694,96.92
1,VER,33.0,MEDIUM,17.0,35.182,43.181,18.685,97.048
1,VER,34.0,MEDIUM,18.0,35.038,43.228,20.96,99.226
1,VER,35.0,HARD,1.0,54.547,42.486,18.47,115.503
1,VER,36.0,HARD,2.0,34.203,42.165,18.251,94.619
1,VER,37.0,HARD,3.0,34.373,42.368,18.229,94.97
1,VER,38.0,HARD,4.0,34.217,42.272,18.497,94.986
1,VER,39.0,HARD,5.0,34.097,42.145,18.252,94.494
1,VER,40.0,HARD,6.0,33.952,42.124,18.267,94.343
1,VER,41.0,HARD,7.0,33.997,42.069,18.207,94.273
1,VER,42.0,HARD,8.0,33.901,42.756,18.308,94.965
1,VER,43.0,HARD,9.0,33.837,42.139,18.327,94.303
1,VER,44.0,HARD,10.0,33.813,42.303,18.339,94.455
1,VER,45.0,HARD,11.0,34.085,42.138,18.383,94.606
1,VER,46.0,HARD,12.0,34.073,42.272,18.265,94.61
1,VER,47.0,HARD,13.0,34.21,42.527,18.376,95.113
1,VER,48.0,HARD,14.0,34.496,42.871,18.383,95.75
1,VER,49.0,HARD,15.0,34.097,42.487,18.301,94.885
1,VER,50.0,HARD,16.0,33.404,42.141,18.161,93.706
1,VER,51.0,HARD,17.0,33.964,42.405,18.399,94.768
1,VER,52.0,HARD,18.0,34.158,42.422,18.39,94.97
1,VER,53.0,HARD,19.0,34.299,42.417,18.547,95.263
11,PER,1.0,MEDIUM,1.0,,65.032,31.841,132.767
11,PER,2.0,MEDIUM,2.0,,56.894,40.221,
11,PER,3.0,MEDIUM,3.0,,42.877,18.696,
11,PER,4.0,MEDIUM,4.0,34.694,43.203,18.676,96.573
11,PER,5.0,MEDIUM,5.0,34.558,43.311,18.699,96.568
11,PER,6.0,MEDIUM,6.0,35.008,43.981,18.704,97.693
11,PER,7.0,MEDIUM,7.0,35.091,43.396,18.821,97.308
11,PER,8.0,MEDIUM,8.0,35.093,43.381,18.746,97.22
