DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
55,SAI,1.0,MEDIUM,1.0,,41.495,33.841,107.224
55,SAI,2.0,MEDIUM,2.0,61.514,46.266,30.157,137.937
55,SAI,3.0,MEDIUM,3.0,56.743,47.358,29.67,133.771
55,SAI,4.0,MEDIUM,4.0,52.782,46.662,30.599,130.043
55,SAI,5.0,MEDIUM,5.0,53.462,46.644,29.819,129.925
55,SAI,6.0,MEDIUM,6.0,39.596,45.875,38.363,123.834
55,SAI,7.0,MEDIUM,7.0,29.087,32.01,20.733,81.83
55,SAI,8.0,MEDIUM,8.0,28.895,31.701,20.688,81.284
55,SAI,9.0,MEDIUM,9.0,29.146,31.928,21.419,82.493
55,SAI,10.0,MEDIUM,10.0,29.324,32.102,21.012,82.438
55,SAI,11.0,MEDIUM,11.0,28.985,31.92,20.942,81.847
55,SAI,12.0,MEDIUM,12.0,28.823,31.839,20.853,81.515
55,SAI,13.0,MEDIUM,13.0,28.874,31.883,20.958,81.715
55,SAI,14.0,MEDIUM,14.0,28.768,31.854,20.853,81.475
55,SAI,15.0,MEDIUM,15.0,28.727,31.823,20.966,81.516
55,SAI,16.0,MEDIUM,16.0,28.701,31.876,21.013,81.59
55,SAI,17.0,MEDIUM,17.0,28.9,31.961,21.151,82.012
55,SAI,18.0,MEDIUM,18.0,28.807,31.934,21.024,81.765
55,SAI,19.0,MEDIUM,19.0,28.811,31.924,20.98,81.715
55,SAI,20.0,MEDIUM,20.0,28.957,31.824,21.008,81.789
55,SAI,21.0,MEDIUM,21.0,28.682,31.785,20.946,81.413
55,SAI,22.0,MEDIUM,22.0,28.654,31.924,21.104,81.682
55,SAI,23.0,MEDIUM,23.0,28.655,31.857,21.004,81.516
55,SAI,24.0,MEDIUM,24.0,28.561,31.905,20.962,81.428
55,SAI,25.0,MEDIUM,25.0,28.859,31.886,20.914,81.659
55,SAI,26.0,MEDIUM,26.0,28.674,31.979,20.943,81.596
55,SAI,27.0,MEDIUM,27.0,28.75,31.966,21.111,81.827
55,SAI,28.0,MEDIUM,28.0,28.762,32.162,21.084,82.008
55,SAI,29.0,MEDIUM,29.0,28.854,31.904,21.111,81.869
55,SAI,30.0,MEDIUM,30.0,28.663,31.957,21.217,81.837
55,SAI,31.0,MEDIUM,31.0,28.694,32.13,21.233,82.057
55,SAI,32.0,MEDIUM,32.0,28.685,31.882,24.541,85.108
55,SAI,33.0,HARD,1.0,47.345,31.711,20.757,99.813
55,SAI,34.0,HARD,2.0,28.632,31.62,20.785,81.037
55,SAI,35.0,HARD,3.0,28.596,31.713,20.881,81.19
55,SAI,36.0,HARD,4.0,28.522,31.742,20.815,81.079
55,SAI,37.0,HARD,5.0,28.639,31.83,20.684,81.153
55,SAI,38.0,HARD,6.0,28.497,31.485,20.634,80.616
55,SAI,39.0,HARD,7.0,28.653,31.636,20.706,80.995
55,SAI,40.0,HARD,8.0,28.49,31.467,20.731,80.688
55,SAI,41.0,HARD,9.0,28.619,31.548,20.813,80.98
55,SAI,42.0,HARD,10.0,28.42,31.641,20.878,80.939
55,SAI,43.0,HARD,11.0,28.465,31.552,20.823,80.84
55,SAI,44.0,HARD,12.0,28.463,31.594,20.749,80.806
55,SAI,45.0,HARD,13.0,28.393,31.422,20.767,80.582
55,SAI,46.0,HARD,14.0,28.538,31.409,20.645,80.592
55,SAI,47.0,HARD,15.0,28.454,31.361,20.56,80.375
55,SAI,48.0,HARD,16.0,28.413,31.526,20.808,80.747
55,SAI,49.0,HARD,17.0,28.284,31.55,20.981,80.815
55,SAI,50.0,HARD,18.0,28.299,31.56,20.874,80.733
55,SAI,51.0,HARD,19.0,28.337,31.611,20.877,80.825
55,SAI,52.0,HARD,20.0,28.305,31.746,20.914,80.965
55,SAI,53.0,HARD,21.0,28.34,31.509,20.87,80.719
55,SAI,54.0,HARD,22.0,28.57,31.353,20.727,80.65
55,SAI,55.0,HARD,23.0,28.47,31.216,20.62,80.306
55,SAI,56.0,HARD,24.0,28.41,31.249,20.597,80.256
55,SAI,57.0,HARD,25.0,28.488,31.254,20.573,80.315
55,SAI,58.0,HARD,26.0,28.395,31.309,20.637,80.341
