DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
4,NOR,1.0,MEDIUM,1.0,,36.048,26.092,98.919
4,NOR,2.0,MEDIUM,2.0,32.214,35.711,26.274,94.199
4,NOR,3.0,MEDIUM,3.0,31.766,35.697,26.224,93.687
4,NOR,4.0,MEDIUM,4.0,31.834,35.786,26.054,93.674
4,NOR,5.0,MEDIUM,5.0,31.583,35.645,26.032,93.26
4,NOR,6.0,MEDIUM,6.0,31.622,35.555,25.995,93.172
4,NOR,7.0,MEDIUM,7.0,31.65,35.508,26.007,93.165
4,NOR,8.0,MEDIUM,8.0,31.604,35.428,25.967,92.999
4,NOR,9.0,MEDIUM,9.0,31.724,35.615,26.09,93.429
4,NOR,10.0,MEDIUM,10.0,31.754,35.549,25.927,93.23
4,NOR,11.0,MEDIUM,11.0,31.625,35.785,26.022,93.432
4,NOR,12.0,MEDIUM,12.0,31.757,35.641,26.029,93.427
4,NOR,13.0,MEDIUM,13.0,31.771,35.753,25.978,93.502
4,NOR,14.0,MEDIUM,14.0,31.893,35.884,25.987,93.764
4,NOR,15.0,MEDIUM,15.0,31.733,35.813,25.926,93.472
4,NOR,16.0,MEDIUM,16.0,31.564,35.686,25.941,93.191
4,NOR,17.0,MEDIUM,17.0,31.729,35.603,26.131,93.463
4,NOR,18.0,MEDIUM,18.0,31.495,35.607,26.048,93.15
4,NOR,19.0,MEDIUM,19.0,31.179,35.329,25.968,92.476
4,NOR,20.0,MEDIUM,20.0,31.208,35.278,25.935,92.421
4,NOR,21.0,MEDIUM,21.0,31.083,35.329,25.917,92.329
4,NOR,22.0,MEDIUM,22.0,31.138,35.452,25.927,92.517
4,NOR,23.0,MEDIUM,23.0,37.959,43.102,25.83,106.891
4,NOR,24.0,MEDIUM,24.0,30.826,35.283,25.873,91.982
4,NOR,25.0,MEDIUM,25.0,31.017,35.257,25.897,92.171
4,NOR,26.0,MEDIUM,26.0,30.933,35.271,25.949,92.153
4,NOR,27.0,MEDIUM,27.0,31.064,35.253,25.845,92.162
4,NOR,28.0,MEDIUM,28.0,30.83,35.276,25.936,92.042
4,NOR,29.0,MEDIUM,29.0,45.796,47.25,40.318,133.364
4,NOR,30.0,HARD,1.0,53.125,49.462,35.428,138.015
4,NOR,31.0,HARD,2.0,38.753,40.571,38.189,117.513
4,NOR,32.0,HARD,3.0,59.211,58.821,38.608,
4,NOR,33.0,HARD,4.0,30.834,34.635,25.688,91.157
4,NOR,34.0,HARD,5.0,30.653,34.896,25.74,91.289
4,NOR,35.0,HARD,6.0,30.786,34.791,25.814,91.391
4,NOR,36.0,HARD,7.0,30.61,34.764,25.759,91.133
4,NOR,37.0,HARD,8.0,30.519,34.744,25.811,91.074
4,NOR,38.0,HARD,9.0,30.649,34.812,25.673,91.134
4,NOR,39.0,HARD,10.0,30.787,34.738,25.667,91.192
4,NOR,40.0,HARD,11.0,30.678,34.83,25.714,91.222
4,NOR,41.0,HARD,12.0,30.482,34.862,25.715,91.059
4,NOR,42.0,HARD,13.0,30.737,34.865,25.738,91.34
4,NOR,43.0,HARD,14.0,30.53,34.797,25.739,91.066
4,NOR,44.0,HARD,15.0,30.563,34.92,25.697,91.18
4,NOR,45.0,HARD,16.0,30.453,34.88,25.735,91.068
4,NOR,46.0,HARD,17.0,30.499,35.205,25.648,91.352
4,NOR,47.0,HARD,18.0,30.556,35.123,25.744,91.423
4,NOR,48.0,HARD,19.0,30.529,34.897,25.709,91.135
4,NOR,49.0,HARD,20.0,30.427,35.025,25.725,91.177
