DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
16,LEC,1.0,HARD,1.0,26.854,41.743,,2456.33
16,LEC,2.0,HARD,2.0,24.007,38.235,22.382,84.624
16,LEC,3.0,HARD,3.0,21.892,38.779,21.954,82.625
16,LEC,4.0,HARD,4.0,21.314,38.513,21.968,81.795
16,LEC,5.0,HARD,5.0,21.568,38.168,21.409,81.145
16,LEC,6.0,HARD,6.0,21.37,38.056,21.554,80.98
16,LEC,7.0,HARD,7.0,21.25,38.171,21.609,81.03
16,LEC,8.0,HARD,8.0,21.092,37.612,21.41,80.114
16,LEC,9.0,HARD,9.0,21.036,37.886,21.853,80.775
16,LEC,10.0,HARD,10.0,21.279,38.236,21.531,81.046
16,LEC,11.0,HARD,11.0,20.949,37.73,21.573,80.252
16,LEC,12.0,HARD,12.0,20.818,36.898,21.301,79.017
16,LEC,13.0,HARD,13.0,20.847,38.003,21.063,79.913
16,LEC,14.0,HARD,14.0,20.763,37.77,21.305,79.838
16,LEC,15.0,HARD,15.0,21.139,37.516,21.501,80.156
16,LEC,16.0,HARD,16.0,20.925,37.498,21.856,80.279
16,LEC,17.0,HARD,17.0,20.612,37.578,21.39,79.58
16,LEC,18.0,HARD,18.0,20.806,36.89,21.146,78.842
16,LEC,19.0,HARD,19.0,20.573,37.018,21.133,78.724
16,LEC,20.0,HARD,20.0,20.609,36.874,20.989,78.472
16,LEC,21.0,HARD,21.0,20.591,37.004,21.025,78.62
16,LEC,22.0,HARD,22.0,20.638,36.755,21.065,78.458
16,LEC,23.0,HARD,23.0,20.436,37.261,21.028,78.725
16,LEC,24.0,HARD,24.0,20.408,37.435,21.13,78.973
16,LEC,25.0,HARD,25.0,20.305,37.048,21.092,78.445
16,LEC,26.0,HARD,26.0,20.507,36.769,21.075,78.351
16,LEC,27.0,HARD,27.0,20.535,37.208,20.967,78.71
16,LEC,28.0,HARD,28.0,20.429,37.312,21.312,79.053
16,LEC,29.0,HARD,29.0,21.091,37.38,21.464,79.935
16,LEC,30.0,HARD,30.0,20.706,36.687,21.0,78.393
16,LEC,31.0,HARD,31.0,20.483,37.216,21.426,79.125
16,LEC,32.0,HARD,32.0,20.51,36.916,21.068,78.494
16,LEC,33.0,HARD,33.0,20.412,37.589,21.318,79.319
16,LEC,34.0,HARD,34.0,20.503,36.672,21.355,78.53
16,LEC,35.0,HARD,35.0,20.697,36.919,21.073,78.689
16,LEC,36.0,HARD,36.0,21.082,36.57,21.273,78.925
16,LEC,37.0,HARD,37.0,20.612,36.704,21.212,78.528
16,LEC,38.0,HARD,38.0,20.815,36.297,21.069,78.181
16,LEC,39.0,HARD,39.0,20.538,37.054,21.141,78.733
16,LEC,40.0,HARD,40.0,20.486,36.988,21.22,78.694
16,LEC,41.0,HARD,41.0,20.683,37.359,21.235,79.277
16,LEC,42.0,HARD,42.0,20.293,36.71,20.862,77.865
16,LEC,43.0,HARD,43.0,20.687,36.752,20.837,78.276
