DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,MEDIUM,1.0,,29.707,29.83,95.505
1,VER,2.0,MEDIUM,2.0,34.72,29.628,29.857,94.205
1,VER,3.0,MEDIUM,3.0,34.53,29.621,29.892,94.043
1,VER,4.0,MEDIUM,4.0,34.416,29.541,29.797,93.754
1,VER,5.0,MEDIUM,5.0,34.457,29.59,29.908,93.955
1,VER,6.0,MEDIUM,6.0,34.355,29.545,29.776,93.676
1,VER,7.0,MEDIUM,7.0,34.467,41.316,47.136,122.919
1,VER,8.0,HARD,1.0,73.947,57.475,57.661,
1,VER,9.0,HARD,2.0,56.642,49.042,55.311,
1,VER,10.0,HARD,3.0,35.648,29.514,29.862,95.024
1,VER,11.0,HARD,4.0,34.555,29.427,29.628,93.61
1,VER,12.0,HARD,5.0,34.391,29.239,29.691,93.321
1,VER,13.0,HARD,6.0,34.096,29.411,29.637,93.144
1,VER,14.0,HARD,7.0,34.303,29.274,29.617,93.194
1,VER,15.0,HARD,8.0,34.32,29.438,29.754,93.512
1,VER,16.0,HARD,9.0,34.239,29.383,29.57,93.192
1,VER,17.0,HARD,10.0,34.134,29.333,29.592,93.059
1,VER,18.0,HARD,11.0,34.172,29.33,29.637,93.139
1,VER,19.0,HARD,12.0,34.172,29.375,29.588,93.135
1,VER,20.0,HARD,13.0,34.155,29.384,29.527,93.066
1,VER,21.0,HARD,14.0,34.129,29.281,29.523,92.933
1,VER,22.0,HARD,15.0,34.195,29.241,29.544,92.98
1,VER,23.0,HARD,16.0,34.024,29.214,29.554,92.792
1,VER,24.0,HARD,17.0,33.956,29.191,29.536,92.683
1,VER,25.0,HARD,18.0,34.12,29.17,29.495,92.785
1,VER,26.0,HARD,19.0,33.949,29.144,29.468,92.561
1,VER,27.0,HARD,20.0,34.033,29.197,29.492,92.722
1,VER,28.0,HARD,21.0,33.962,29.194,29.518,92.674
1,VER,29.0,HARD,22.0,33.939,29.126,29.687,92.752
1,VER,30.0,HARD,23.0,33.902,29.221,29.478,92.601
1,VER,31.0,HARD,24.0,33.899,29.138,29.417,92.454
1,VER,32.0,HARD,25.0,33.99,29.125,29.43,92.545
