DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
4,NOR,1.0,MEDIUM,1.0,,41.379,27.852,100.424
4,NOR,2.0,MEDIUM,2.0,29.268,41.412,27.8,98.48
4,NOR,3.0,MEDIUM,3.0,29.354,41.262,27.79,98.406
4,NOR,4.0,MEDIUM,4.0,29.399,41.305,27.742,98.446
4,NOR,5.0,MEDIUM,5.0,29.034,41.159,27.745,97.938
4,NOR,6.0,MEDIUM,6.0,29.15,41.224,27.469,97.843
4,NOR,7.0,MEDIUM,7.0,29.048,41.128,27.445,97.621
4,NOR,8.0,MEDIUM,8.0,28.919,40.798,27.365,97.082
4,NOR,9.0,MEDIUM,9.0,28.781,40.658,27.276,96.715
4,NOR,10.0,MEDIUM,10.0,28.727,40.859,27.244,96.83
4,NOR,11.0,MEDIUM,11.0,28.697,40.842,27.112,96.651
4,NOR,12.0,MEDIUM,12.0,28.62,40.879,26.996,96.495
4,NOR,13.0,MEDIUM,13.0,28.639,40.727,27.304,96.67
4,NOR,14.0,MEDIUM,14.0,28.803,40.825,27.204,96.832
4,NOR,15.0,MEDIUM,15.0,28.747,40.861,27.15,96.758
4,NOR,16.0,MEDIUM,16.0,28.723,40.93,26.971,96.624
4,NOR,17.0,MEDIUM,17.0,28.765,40.959,27.284,97.008
4,NOR,18.0,MEDIUM,18.0,28.859,41.085,27.124,97.068
4,NOR,19.0,MEDIUM,19.0,28.814,41.2,27.268,97.282
4,NOR,20.0,MEDIUM,20.0,28.735,41.172,26.98,96.887
4,NOR,21.0,MEDIUM,21.0,28.918,41.088,27.192,97.198
4,NOR,22.0,MEDIUM,22.0,28.812,41.272,27.031,97.115
4,NOR,23.0,MEDIUM,23.0,28.855,41.138,27.219,97.212
4,NOR,24.0,MEDIUM,24.0,28.974,41.386,27.167,97.527
4,NOR,25.0,MEDIUM,25.0,28.797,41.373,27.234,97.404
4,NOR,26.0,MEDIUM,26.0,28.828,41.187,27.245,97.26
4,NOR,27.0,MEDIUM,27.0,28.941,41.425,27.237,97.603
4,NOR,28.0,MEDIUM,28.0,28.917,41.385,27.226,97.528
4,NOR,29.0,MEDIUM,29.0,28.963,41.543,31.372,101.878
4,NOR,30.0,MEDIUM,30.0,29.259,41.876,35.938,107.073
4,NOR,31.0,HARD,1.0,49.556,41.249,27.603,118.408
4,NOR,32.0,HARD,2.0,28.851,40.761,27.422,97.034
4,NOR,33.0,HARD,3.0,28.703,40.783,27.198,96.684
4,NOR,34.0,HARD,4.0,28.639,40.807,27.268,96.714
4,NOR,35.0,HARD,5.0,28.57,40.706,27.248,96.524
4,NOR,36.0,HARD,6.0,28.596,40.535,27.085,96.216
4,NOR,37.0,HARD,7.0,28.512,40.644,27.279,96.435
4,NOR,38.0,HARD,8.0,28.596,40.814,27.3,96.71
4,NOR,39.0,HARD,9.0,28.744,41.192,27.389,97.325
4,NOR,40.0,HARD,10.0,28.722,41.038,27.434,97.194
4,NOR,41.0,HARD,11.0,28.598,40.84,27.132,96.57
4,NOR,42.0,HARD,12.0,28.56,40.731,27.113,96.404
4,NOR,43.0,HARD,13.0,28.776,40.757,27.077,96.61
4,NOR,44.0,HARD,14.0,28.522,40.586,27.167,96.275
4,NOR,45.0,HARD,15.0,28.592,41.135,27.201,96.928
4,NOR,46.0,HARD,16.0,28.332,40.577,27.044,95.953
4,NOR,47.0,HARD,17.0,28.577,40.749,27.241,96.567
4,NOR,48.0,HARD,18.0,28.238,40.206,26.481,94.925
4,NOR,49.0,HARD,19.0,28.515,40.596,26.949,96.06
4,NOR,50.0,HARD,20.0,28.5,40.749,27.062,96.311
4,NOR,51.0,HARD,21.0,28.507,40.946,27.15,96.603
4,NOR,52.0,HARD,22.0,28.497,40.713,26.982,96.192
4,NOR,53.0,HARD,23.0,28.491,40.695,27.249,96.435
4,NOR,54.0,HARD,24.0,28.672,41.034,27.043,96.749
4,NOR,55.0,HARD,25.0,28.613,41.01,27.163,96.786
4,NOR,56.0,HARD,26.0,28.723,41.176,27.298,97.197
4,NOR,57.0,HARD,27.0,28.836,41.398,28.615,98.849
4,NOR,58.0,HARD,28.0,29.021,41.423,27.29,97.734
4,NOR,59.0,HARD,29.0,28.666,41.127,27.155,96.948
4,NOR,60.0,HARD,30.0,28.564,40.969,27.098,96.631
4,NOR,61.0,HARD,31.0,28.686,41.15,26.984,96.82
4,NOR,62.0,HARD,32.0,28.662,41.387,27.873,97.922
1,VER,1.0,MEDIUM,1.0,,41.689,27.888,101.413
1,VER,2.0,MEDIUM,2.0,29.027,41.805,27.958,98.79
1,VER,3.0,MEDIUM,3.0,29.353,41.641,27.923,98.917
1,VER,4.0,MEDIUM,4.0,29.193,41.518,27.759,98.47
1,VER,5.0,MEDIUM,5.0,29.031,41.31,27.565,97.906
1,VER,6.0,MEDIUM,6.0,28.952,41.383,27.662,97.997
1,VER,7.0,MEDIUM,7.0,29.021,41.271,27.482,97.774
1,VER,8.0,MEDIUM,8.0,29.109,41.083,27.477,97.669
1,VER,9.0,MEDIUM,9.0,28.961,41.421,27.508,97.89
1,VER,10.0,MEDIUM,10.0,28.882,41.405,27.452,97.739
1,VER,11.0,MEDIUM,11.0,28.842,41.269,27.482,97.593
1,VER,12.0,MEDIUM,12.0,28.894,41.425,27.459,97.778
1,VER,13.0,MEDIUM,13.0,28.94,41.182,27.579,97.701
1,VER,14.0,MEDIUM,14.0,28.994,41.292,27.421,97.707
1,VER,15.0,MEDIUM,15.0,28.967,41.348,27.511,97.826
1,VER,16.0,MEDIUM,16.0,29.023,41.338,27.49,97.851
1,VER,17.0,MEDIUM,17.0,29.011,41.423,27.553,97.987
1,VER,18.0,MEDIUM,18.0,28.965,41.611,27.492,98.068
1,VER,19.0,MEDIUM,19.0,28.996,41.483,27.538,98.017
1,VER,20.0,MEDIUM,20.0,28.997,41.569,27.557,98.123
1,VER,21.0,MEDIUM,21.0,28.989,41.72,27.463,98.172
1,VER,22.0,MEDIUM,22.0,28.989,41.704,27.499,98.192
1,VER,23.0,MEDIUM,23.0,29.016,41.711,27.504,98.231
1,VER,24.0,MEDIUM,24.0,29.056,41.782,27.561,98.399
1,VER,25.0,MEDIUM,25.0,29.062,41.99,27.589,98.641
1,VER,26.0,MEDIUM,26.0,29.106,41.818,27.651,98.575
1,VER,27.0,MEDIUM,27.0,29.264,41.975,27.688,98.927
1,VER,28.0,MEDIUM,28.0,29.236,42.261,27.768,99.265
1,VER,29.0,MEDIUM,29.0,29.284,42.515,36.074,107.873
1,VER,30.0,HARD,1.0,49.957,41.662,27.37,118.989
1,VER,31.0,HARD,2.0,28.61,40.86,27.218,96.688
1,VER,32.0,HARD,3.0,28.613,40.928,27.283,96.824
1,VER,33.0,HARD,4.0,28.775,41.013,27.234,97.022
1,VER,34.0,HARD,5.0,28.699,40.998,27.174,96.871
1,VER,35.0,HARD,6.0,28.703,41.14,27.257,97.1
1,VER,36.0,HARD,7.0,28.653,41.062,27.253,96.968
1,VER,37.0,HARD,8.0,28.691,41.058,27.235,96.984
1,VER,38.0,HARD,9.0,28.767,41.074,27.23,97.071
1,VER,39.0,HARD,10.0,28.621,41.115,27.221,96.957
1,VER,40.0,HARD,11.0,28.662,41.048,27.252,96.962
1,VER,41.0,HARD,12.0,28.78,41.247,27.353,97.38
1,VER,42.0,HARD,13.0,28.629,41.058,27.178,96.865
1,VER,43.0,HARD,14.0,28.636,40.814,27.132,96.582
1,VER,44.0,HARD,15.0,28.587,40.752,27.075,96.414
1,VER,45.0,HARD,16.0,28.645,40.993,26.98,96.618
1,VER,46.0,HARD,17.0,28.552,40.938,27.01,96.5
1,VER,47.0,HARD,18.0,28.654,40.908,27.066,96.628
1,VER,48.0,HARD,19.0,28.672,40.922,27.145,96.739
1,VER,49.0,HARD,20.0,28.749,40.909,26.944,96.602
1,VER,50.0,HARD,21.0,28.723,41.192,27.14,97.055
1,VER,51.0,HARD,22.0,28.785,41.295,27.052,97.132
1,VER,52.0,HARD,23.0,28.632,41.176,27.034,96.842
1,VER,53.0,HARD,24.0,28.64,41.069,27.134,96.843
1,VER,54.0,HARD,25.0,28.831,40.957,26.96,96.748
1,VER,55.0,HARD,26.0,28.561,40.901,26.965,96.427
1,VER,56.0,HARD,27.0,28.611,40.869,26.907,96.387
1,VER,57.0,HARD,28.0,28.622,40.787,26.993,96.402
1,VER,58.0,HARD,29.0,28.499,40.749,26.923,96.171
1,VER,59.0,HARD,30.0,28.352,40.694,26.921,95.967
1,VER,60.0,HARD,31.0,28.536,40.793,27.014,96.343
1,VER,61.0,HARD,32.0,28.446,40.738,26.829,96.013
1,VER,62.0,HARD,33.0,28.636,40.974,27.321,96.931
81,PIA,1.0,MEDIUM,1.0,,43.494,28.089,105.268
81,PIA,2.0,MEDIUM,2.0,29.283,41.853,27.803,98.939
81,PIA,3.0,MEDIUM,3.0,29.077,42.332,27.941,99.35
81,PIA,4.0,MEDIUM,4.0,29.343,42.235,27.778,99.356
81,PIA,5.0,MEDIUM,5.0,29.101,41.853,27.713,98.667
81,PIA,6.0,MEDIUM,6.0,29.132,41.923,27.723,98.778
81,PIA,7.0,MEDIUM,7.0,29.002,41.742,27.675,98.419
81,PIA,8.0,MEDIUM,8.0,28.888,41.45,27.535,97.873
