DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,SOFT,4.0,,32.054,23.658,83.186
1,VER,2.0,SOFT,5.0,24.201,31.9,23.77,79.871
1,VER,3.0,SOFT,6.0,23.249,32.086,24.029,79.364
1,VER,4.0,SOFT,7.0,24.251,32.339,24.176,80.766
1,VER,5.0,SOFT,8.0,24.165,32.393,24.269,80.827
1,VER,6.0,SOFT,9.0,24.212,32.383,24.281,80.876
1,VER,7.0,SOFT,10.0,24.231,32.481,24.261,80.973
1,VER,8.0,SOFT,11.0,24.111,32.622,24.256,80.989
1,VER,9.0,SOFT,12.0,24.174,32.54,24.328,81.042
1,VER,10.0,SOFT,13.0,24.129,32.546,24.328,81.003
1,VER,11.0,SOFT,14.0,24.127,32.52,24.307,80.954
1,VER,12.0,SOFT,15.0,24.149,32.844,24.383,81.376
1,VER,13.0,SOFT,16.0,24.043,32.594,24.17,80.807
1,VER,14.0,SOFT,17.0,24.034,32.625,24.33,80.989
1,VER,15.0,SOFT,18.0,23.972,32.786,24.339,81.097
1,VER,16.0,SOFT,19.0,24.044,32.787,24.392,81.223
1,VER,17.0,SOFT,20.0,23.941,32.874,28.061,84.876
1,VER,18.0,MEDIUM,1.0,42.077,31.843,23.737,97.657
1,VER,19.0,MEDIUM,2.0,23.879,31.93,23.916,79.725
1,VER,20.0,MEDIUM,3.0,23.956,32.09,23.92,79.966
1,VER,21.0,MEDIUM,4.0,23.689,32.541,24.074,80.304
1,VER,22.0,MEDIUM,5.0,23.781,31.974,23.987,79.742
1,VER,23.0,MEDIUM,6.0,23.63,32.004,23.971,79.605
1,VER,24.0,MEDIUM,7.0,23.648,32.13,23.923,79.701
1,VER,25.0,MEDIUM,8.0,23.625,31.86,23.878,79.363
1,VER,26.0,MEDIUM,9.0,23.707,32.317,23.858,79.882
1,VER,27.0,MEDIUM,10.0,23.602,32.193,23.899,79.694
1,VER,28.0,MEDIUM,11.0,23.824,32.175,24.102,80.101
1,VER,29.0,MEDIUM,12.0,23.626,32.14,24.026,79.792
