DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,INTERMEDIATE,1.0,,49.176,18.794,99.161
1,VER,2.0,INTERMEDIATE,2.0,21.981,46.412,18.741,87.134
1,VER,3.0,INTERMEDIATE,3.0,21.716,45.98,18.544,86.24
1,VER,4.0,INTERMEDIATE,4.0,22.151,46.15,18.401,86.702
1,VER,5.0,INTERMEDIATE,5.0,21.773,45.18,18.441,85.394
1,VER,6.0,INTERMEDIATE,6.0,21.513,44.507,18.291,84.311
1,VER,7.0,INTERMEDIATE,7.0,21.324,44.661,18.357,84.342
1,VER,8.0,INTERMEDIATE,8.0,21.307,44.926,18.424,84.657
1,VER,9.0,INTERMEDIATE,9.0,21.402,45.08,18.296,84.778
1,VER,10.0,INTERMEDIATE,10.0,21.208,44.455,18.352,84.015
1,VER,11.0,INTERMEDIATE,11.0,21.31,44.612,18.234,84.156
1,VER,12.0,INTERMEDIATE,12.0,21.074,44.159,18.197,83.43
1,VER,13.0,INTERMEDIATE,13.0,21.427,44.654,18.431,84.512
1,VER,14.0,INTERMEDIATE,14.0,21.468,45.052,18.271,84.791
1,VER,15.0,INTERMEDIATE,15.0,21.62,44.775,18.274,84.669
1,VER,16.0,INTERMEDIATE,16.0,21.616,45.371,18.144,85.131
1,VER,17.0,INTERMEDIATE,17.0,21.517,44.642,18.169,84.328
1,VER,18.0,INTERMEDIATE,18.0,21.508,44.62,18.12,84.248
1,VER,19.0,INTERMEDIATE,19.0,21.571,44.905,18.017,84.493
1,VER,20.0,INTERMEDIATE,20.0,21.355,44.416,18.144,83.915
1,VER,21.0,INTERMEDIATE,21.0,22.164,44.189,17.916,84.269
1,VER,22.0,INTERMEDIATE,22.0,21.988,44.995,18.072,85.055
1,VER,23.0,INTERMEDIATE,23.0,21.588,44.576,18.103,84.267
1,VER,24.0,INTERMEDIATE,24.0,21.417,44.885,18.228,84.53
1,VER,25.0,INTERMEDIATE,25.0,21.308,44.707,18.141,84.156
1,VER,26.0,INTERMEDIATE,26.0,21.485,45.403,18.364,85.252
1,VER,27.0,INTERMEDIATE,27.0,21.572,46.974,19.847,88.393
1,VER,28.0,INTERMEDIATE,28.0,32.74,55.199,23.778,111.717
1,VER,29.0,INTERMEDIATE,29.0,25.007,55.169,24.838,105.014
1,VER,30.0,INTERMEDIATE,30.0,30.773,60.949,27.597,119.319
1,VER,31.0,INTERMEDIATE,31.0,33.013,60.259,31.695,124.967
1,VER,32.0,INTERMEDIATE,32.0,35.92,71.429,51.28,
1,VER,33.0,INTERMEDIATE,1.0,,75.809,46.384,
1,VER,34.0,INTERMEDIATE,2.0,23.365,47.904,19.091,90.36
1,VER,35.0,INTERMEDIATE,3.0,22.827,46.427,18.752,88.006
1,VER,36.0,INTERMEDIATE,4.0,22.475,45.461,18.573,86.509
1,VER,37.0,INTERMEDIATE,5.0,22.068,44.748,18.47,85.286
1,VER,38.0,INTERMEDIATE,6.0,21.503,44.573,18.315,84.391
1,VER,39.0,INTERMEDIATE,7.0,21.426,44.323,19.547,85.296
1,VER,40.0,INTERMEDIATE,8.0,30.615,69.546,29.288,129.449
1,VER,41.0,INTERMEDIATE,9.0,31.726,66.797,26.572,125.095
1,VER,42.0,INTERMEDIATE,10.0,31.912,69.936,41.116,142.964
1,VER,43.0,INTERMEDIATE,11.0,22.237,44.92,18.519,85.676
1,VER,44.0,INTERMEDIATE,12.0,21.425,44.136,18.323,83.884
1,VER,45.0,INTERMEDIATE,13.0,21.17,43.651,18.055,82.876
1,VER,46.0,INTERMEDIATE,14.0,21.262,43.735,18.109,83.106
1,VER,47.0,INTERMEDIATE,15.0,21.046,43.387,18.02,82.453
1,VER,48.0,INTERMEDIATE,16.0,21.139,43.289,17.862,82.29
1,VER,49.0,INTERMEDIATE,17.0,20.998,43.309,17.934,82.241
1,VER,50.0,INTERMEDIATE,18.0,20.941,43.106,17.996,82.043
1,VER,51.0,INTERMEDIATE,19.0,20.991,43.343,17.972,82.306
1,VER,52.0,INTERMEDIATE,20.0,20.95,43.261,18.169,82.38
1,VER,53.0,INTERMEDIATE,21.0,20.854,43.376,18.021,82.251
1,VER,54.0,INTERMEDIATE,22.0,20.969,43.17,18.107,82.246
1,VER,55.0,INTERMEDIATE,23.0,20.875,43.342,18.074,82.291
1,VER,56.0,INTERMEDIATE,24.0,20.893,43.067,18.045,82.005
1,VER,57.0,INTERMEDIATE,25.0,20.884,42.999,17.979,81.862
1,VER,58.0,INTERMEDIATE,26.0,20.851,43.016,17.915,81.782
1,VER,59.0,INTERMEDIATE,27.0,20.84,42.908,17.803,81.551
1,VER,60.0,INTERMEDIATE,28.0,20.665,42.796,17.87,81.331
1,VER,61.0,INTERMEDIATE,29.0,20.735,42.716,17.885,81.336
1,VER,62.0,INTERMEDIATE,30.0,20.611,42.604,17.854,81.069
1,VER,63.0,INTERMEDIATE,31.0,20.693,42.654,17.885,81.232
1,VER,64.0,INTERMEDIATE,32.0,20.632,42.559,17.838,81.029
1,VER,65.0,INTERMEDIATE,33.0,20.581,42.614,17.795,80.99
1,VER,66.0,INTERMEDIATE,34.0,20.787,42.539,17.785,81.111
1,VER,67.0,INTERMEDIATE,35.0,20.546,42.236,17.69,80.472
1,VER,68.0,INTERMEDIATE,36.0,20.852,42.92,17.782,81.554
1,VER,69.0,INTERMEDIATE,37.0,20.643,42.806,17.873,81.322
31,OCO,1.0,INTERMEDIATE,3.0,,46.939,18.62,94.467
31,OCO,2.0,INTERMEDIATE,4.0,22.069,45.797,18.51,86.376
31,OCO,3.0,INTERMEDIATE,5.0,21.898,45.879,18.561,86.338
31,OCO,4.0,INTERMEDIATE,6.0,21.705,45.52,18.478,85.703
31,OCO,5.0,INTERMEDIATE,7.0,21.759,45.152,18.506,85.417
31,OCO,6.0,INTERMEDIATE,8.0,21.53,45.079,18.402,85.011
31,OCO,7.0,INTERMEDIATE,9.0,21.62,45.372,18.388,85.38
31,OCO,8.0,INTERMEDIATE,10.0,21.492,45.136,18.326,84.954
31,OCO,9.0,INTERMEDIATE,11.0,21.375,44.952,18.327,84.654
31,OCO,10.0,INTERMEDIATE,12.0,21.335,44.807,18.351,84.493
31,OCO,11.0,INTERMEDIATE,13.0,21.476,44.983,18.323,84.782
31,OCO,12.0,INTERMEDIATE,14.0,21.399,44.849,18.393,84.641
31,OCO,13.0,INTERMEDIATE,15.0,21.445,45.073,18.408,84.926
31,OCO,14.0,INTERMEDIATE,16.0,21.715,45.017,18.312,85.044
31,OCO,15.0,INTERMEDIATE,17.0,21.504,45.08,18.312,84.896
31,OCO,16.0,INTERMEDIATE,18.0,22.208,44.677,18.16,85.045
31,OCO,17.0,INTERMEDIATE,19.0,21.37,44.689,18.184,84.243
31,OCO,18.0,INTERMEDIATE,20.0,21.655,44.508,18.26,84.423
31,OCO,19.0,INTERMEDIATE,21.0,21.47,44.528,18.224,84.222
31,OCO,20.0,INTERMEDIATE,22.0,21.524,44.554,18.204,84.282
31,OCO,21.0,INTERMEDIATE,23.0,21.455,44.374,18.208,84.037
31,OCO,22.0,INTERMEDIATE,24.0,21.477,44.753,18.14,84.37
31,OCO,23.0,INTERMEDIATE,25.0,21.423,44.932,18.251,84.606
31,OCO,24.0,INTERMEDIATE,26.0,21.517,44.842,18.157,84.516
31,OCO,25.0,INTERMEDIATE,27.0,21.536,45.196,18.329,85.061
31,OCO,26.0,INTERMEDIATE,28.0,21.523,45.552,18.395,85.47
31,OCO,27.0,INTERMEDIATE,29.0,21.718,46.274,18.628,86.62
31,OCO,28.0,INTERMEDIATE,30.0,31.956,55.195,23.563,110.714
31,OCO,29.0,INTERMEDIATE,31.0,23.382,53.837,23.604,100.823
31,OCO,30.0,INTERMEDIATE,32.0,30.382,62.24,25.525,118.147
31,OCO,31.0,INTERMEDIATE,33.0,33.112,68.064,30.934,132.11
31,OCO,32.0,INTERMEDIATE,34.0,36.08,72.164,49.986,
31,OCO,33.0,INTERMEDIATE,3.0,,75.86,46.895,
31,OCO,34.0,INTERMEDIATE,4.0,23.08,46.987,19.324,89.391
