DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
16,LEC,1.0,MEDIUM,1.0,,39.463,32.844,99.987
16,LEC,2.0,MEDIUM,2.0,27.122,39.879,33.34,100.341
16,LEC,3.0,MEDIUM,3.0,27.112,45.84,49.921,122.873
16,LEC,4.0,MEDIUM,4.0,40.75,57.615,52.839,
16,LEC,5.0,MEDIUM,5.0,40.913,62.1,65.772,
16,LEC,6.0,MEDIUM,6.0,27.025,39.44,32.486,98.951
16,LEC,7.0,MEDIUM,7.0,26.844,39.803,32.923,99.57
16,LEC,8.0,MEDIUM,8.0,26.88,39.629,32.798,99.307
16,LEC,9.0,MEDIUM,9.0,26.797,39.651,32.809,99.257
16,LEC,10.0,MEDIUM,10.0,26.879,39.778,32.764,99.421
16,LEC,11.0,MEDIUM,11.0,26.851,39.807,32.939,99.597
16,LEC,12.0,MEDIUM,12.0,26.799,39.754,32.895,99.448
16,LEC,13.0,MEDIUM,13.0,26.617,39.768,33.014,99.399
16,LEC,14.0,MEDIUM,14.0,26.743,39.738,32.719,99.2
16,LEC,15.0,MEDIUM,15.0,26.791,39.991,32.89,99.672
16,LEC,16.0,MEDIUM,16.0,26.785,40.089,32.908,99.782
16,LEC,17.0,MEDIUM,17.0,26.774,40.05,32.797,99.621
16,LEC,18.0,MEDIUM,18.0,26.948,39.853,32.634,99.435
16,LEC,19.0,MEDIUM,19.0,27.028,39.781,32.744,99.553
16,LEC,20.0,MEDIUM,20.0,26.924,39.892,32.94,99.756
16,LEC,21.0,MEDIUM,21.0,26.735,39.835,32.936,99.506
16,LEC,22.0,MEDIUM,22.0,26.711,39.746,32.954,99.411
16,LEC,23.0,MEDIUM,23.0,26.769,40.092,33.017,99.878
16,LEC,24.0,MEDIUM,24.0,26.735,40.006,32.958,99.699
16,LEC,25.0,MEDIUM,25.0,26.655,39.944,32.984,99.583
16,LEC,26.0,MEDIUM,26.0,26.649,40.027,33.535,100.211
16,LEC,27.0,HARD,1.0,47.297,39.616,32.609,119.522
16,LEC,28.0,HARD,2.0,26.597,39.341,32.724,98.662
16,LEC,29.0,HARD,3.0,26.635,39.624,32.808,99.067
16,LEC,30.0,HARD,4.0,26.707,39.55,32.777,99.034
16,LEC,31.0,HARD,5.0,26.577,39.6,32.49,98.667
16,LEC,32.0,HARD,6.0,26.449,39.535,32.841,98.825
16,LEC,33.0,HARD,7.0,26.573,39.685,32.774,99.032
16,LEC,34.0,HARD,8.0,26.636,39.525,32.472,98.633
16,LEC,35.0,HARD,9.0,26.625,39.631,32.641,98.897
16,LEC,36.0,HARD,10.0,26.484,39.393,32.766,98.643
16,LEC,37.0,HARD,11.0,26.37,39.536,32.571,98.477
16,LEC,38.0,HARD,12.0,26.484,39.434,32.652,98.57
16,LEC,39.0,HARD,13.0,26.334,39.02,32.48,97.834
16,LEC,40.0,HARD,14.0,26.418,39.249,32.62,98.287
16,LEC,41.0,HARD,15.0,26.412,39.303,32.68,98.395
16,LEC,42.0,HARD,16.0,26.274,39.41,32.495,98.179
16,LEC,43.0,HARD,17.0,26.222,39.409,32.626,98.257
16,LEC,44.0,HARD,18.0,26.249,39.723,32.725,98.697
16,LEC,45.0,HARD,19.0,26.256,39.424,32.669,98.349
16,LEC,46.0,HARD,20.0,26.33,39.726,33.121,99.177
16,LEC,47.0,HARD,21.0,26.466,39.385,32.62,98.471
16,LEC,48.0,HARD,22.0,26.308,39.549,32.456,98.313
16,LEC,49.0,HARD,23.0,26.007,39.647,32.672,98.326
16,LEC,50.0,HARD,24.0,26.124,39.533,32.294,97.951
16,LEC,51.0,HARD,25.0,26.116,39.514,32.245,97.875
16,LEC,52.0,HARD,26.0,26.186,39.541,32.365,98.092
16,LEC,53.0,HARD,27.0,26.284,39.625,32.456,98.365
16,LEC,54.0,HARD,28.0,26.397,39.361,32.417,98.175
16,LEC,55.0,HARD,29.0,26.149,39.261,32.492,97.902
16,LEC,56.0,HARD,30.0,26.574,39.861,33.083,99.518
55,SAI,1.0,MEDIUM,1.0,,39.891,33.748,102.273
55,SAI,2.0,MEDIUM,2.0,26.992,39.337,33.594,99.923
55,SAI,3.0,MEDIUM,3.0,27.121,47.487,49.004,123.612
55,SAI,4.0,MEDIUM,4.0,39.846,58.433,53.386,
55,SAI,5.0,MEDIUM,5.0,39.878,61.58,65.197,
55,SAI,6.0,MEDIUM,6.0,27.199,39.976,32.827,100.002
55,SAI,7.0,MEDIUM,7.0,26.936,39.503,33.245,99.684
55,SAI,8.0,MEDIUM,8.0,27.544,40.262,33.138,100.944
55,SAI,9.0,MEDIUM,9.0,27.037,39.829,33.156,100.022
55,SAI,10.0,MEDIUM,10.0,26.884,39.806,33.197,99.887
55,SAI,11.0,MEDIUM,11.0,26.911,40.086,33.355,100.352
55,SAI,12.0,MEDIUM,12.0,26.893,40.02,33.328,100.241
55,SAI,13.0,MEDIUM,13.0,26.894,39.879,33.241,100.014
55,SAI,14.0,MEDIUM,14.0,26.872,40.135,33.031,100.038
55,SAI,15.0,MEDIUM,15.0,26.829,40.115,33.127,100.071
55,SAI,16.0,MEDIUM,16.0,26.894,40.091,33.301,100.286
55,SAI,17.0,MEDIUM,17.0,27.065,40.002,33.136,100.203
55,SAI,18.0,MEDIUM,18.0,26.876,39.951,32.869,99.696
55,SAI,19.0,MEDIUM,19.0,26.87,40.101,32.927,99.898
55,SAI,20.0,MEDIUM,20.0,26.771,39.877,33.166,99.814
55,SAI,21.0,MEDIUM,21.0,26.837,39.972,33.886,100.695
55,SAI,22.0,HARD,1.0,46.802,38.963,32.132,117.897
55,SAI,23.0,HARD,2.0,26.593,39.519,32.619,98.731
55,SAI,24.0,HARD,3.0,26.772,39.558,32.783,99.113
55,SAI,25.0,HARD,4.0,26.826,39.575,32.954,99.355
55,SAI,26.0,HARD,5.0,26.72,39.736,32.886,99.342
55,SAI,27.0,HARD,6.0,26.607,39.62,32.733,98.96
55,SAI,28.0,HARD,7.0,26.73,39.39,32.934,99.054
55,SAI,29.0,HARD,8.0,26.738,39.58,32.885,99.203
55,SAI,30.0,HARD,9.0,26.628,39.369,32.677,98.674
55,SAI,31.0,HARD,10.0,26.692,39.68,32.909,99.281
55,SAI,32.0,HARD,11.0,26.607,39.623,32.795,99.025
55,SAI,33.0,HARD,12.0,26.571,39.569,32.62,98.76
55,SAI,34.0,HARD,13.0,26.672,39.543,32.597,98.812
55,SAI,35.0,HARD,14.0,26.538,39.505,32.577,98.62
55,SAI,36.0,HARD,15.0,26.652,39.491,32.444,98.587
55,SAI,37.0,HARD,16.0,26.434,39.396,32.598,98.428
55,SAI,38.0,HARD,17.0,26.445,39.282,32.462,98.189
55,SAI,39.0,HARD,18.0,26.432,39.145,32.498,98.075
55,SAI,40.0,HARD,19.0,26.434,39.211,32.437,98.082
55,SAI,41.0,HARD,20.0,26.326,39.097,32.363,97.786
55,SAI,42.0,HARD,21.0,26.22,39.185,32.358,97.763
55,SAI,43.0,HARD,22.0,26.293,39.373,32.557,98.223
55,SAI,44.0,HARD,23.0,26.361,39.459,32.63,98.45
55,SAI,45.0,HARD,24.0,26.318,39.267,32.695,98.28
55,SAI,46.0,HARD,25.0,26.469,39.456,32.693,98.618
55,SAI,47.0,HARD,26.0,26.419,39.703,32.761,98.883
55,SAI,48.0,HARD,27.0,26.421,39.244,32.465,98.13
55,SAI,49.0,HARD,28.0,26.387,39.596,32.601,98.584
55,SAI,50.0,HARD,29.0,26.476,39.475,32.319,98.27
55,SAI,51.0,HARD,30.0,26.279,39.437,32.785,98.501
55,SAI,52.0,HARD,31.0,26.102,39.615,32.371,98.088
55,SAI,53.0,HARD,32.0,26.323,39.55,32.297,98.17
55,SAI,54.0,HARD,33.0,26.379,39.379,32.442,98.2
55,SAI,55.0,HARD,34.0,26.45,39.749,32.81,99.009
55,SAI,56.0,HARD,35.0,26.695,41.016,33.372,101.083
1,VER,1.0,MEDIUM,1.0,,40.291,33.295,101.657
1,VER,2.0,MEDIUM,2.0,26.845,39.996,33.15,99.991
1,VER,3.0,MEDIUM,3.0,26.98,46.144,49.725,122.849
1,VER,4.0,MEDIUM,4.0,40.222,58.115,53.159,
1,VER,5.0,MEDIUM,5.0,40.279,61.864,65.48,
1,VER,6.0,MEDIUM,6.0,27.069,39.822,32.888,99.779
1,VER,7.0,MEDIUM,7.0,26.838,39.793,33.1,99.731
