DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,84.891,1.0,19.0,29.057333,18.44075,35.789333,2.277
10,GAS,85.312,17.0,13.0,29.606285,18.633157,36.892421,7.52
11,PER,84.192,3.0,5.0,29.184842,18.487189,36.387137,6.825
14,ALO,84.618,10.0,6.0,29.15314,18.559741,36.743517,7.555
16,LEC,83.262,5.0,2.0,28.882859,18.227741,36.033534,5.24
18,STR,84.829,9.0,7.0,29.152,18.739568,36.798948,6.743
20,MAG,84.753,14.0,10.0,29.324035,18.435385,36.82514,5.773
22,TSU,84.87,8.0,8.0,29.23735,18.867931,36.61912,6.361
23,ALB,84.769,12.0,11.0,29.373892,18.528859,36.702017,5.535
24,ZHO,85.459,19.0,15.0,29.455303,18.802859,36.956385,7.548
27,HUL,85.024,16.0,9.0,29.372894,18.809293,36.664034,6.987
3,RIC,84.883,18.0,12.0,29.443357,18.610947,36.640368,6.085
31,OCO,85.628,15.0,16.0,29.603321,18.692157,37.163649,7.817
4,NOR,83.323,4.0,3.0,28.914263,18.281689,36.017982,5.379
44,HAM,85.228,11.0,,29.553357,18.181066,36.9288,4.34
55,SAI,83.221,2.0,1.0,28.811263,18.432379,35.883689,5.639
63,RUS,83.656,7.0,,28.84989,18.264517,36.402642,4.022
77,BOT,85.424,13.0,14.0,29.563875,18.825824,36.882105,8.316
81,PIA,83.838,6.0,4.0,29.249701,18.266241,36.205137,6.624
