DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,71.691,1.0,5.0,18.5879,31.608028,21.474169,5.591
10,GAS,72.177,13.0,10.0,18.131385,32.117126,21.854225,3.455
11,PER,72.077,8.0,7.0,18.261314,32.001281,21.762535,3.84
14,ALO,73.007,15.0,18.0,18.713652,32.287971,21.939585,5.108
16,LEC,72.251,6.0,11.0,18.690685,31.872619,21.635676,5.274
18,STR,72.472,17.0,13.0,18.193333,32.367314,21.831957,3.584
2,SAR,73.465,19.0,19.0,18.804308,32.454405,22.132826,5.03
20,MAG,72.157,12.0,8.0,18.123171,32.094732,21.87107,3.363
22,TSU,72.513,14.0,15.0,18.404869,32.140328,21.8974,3.825
23,ALB,72.481,16.0,14.0,18.294724,32.272328,21.838571,3.659
24,ZHO,72.967,20.0,17.0,18.551391,32.339142,21.921914,3.673
27,HUL,72.069,9.0,6.0,18.218442,32.02245,21.763957,3.441
3,RIC,72.169,11.0,9.0,18.096928,32.034464,21.971253,3.442
31,OCO,72.269,10.0,12.0,18.251257,32.242098,21.714816,3.514
4,NOR,71.735,2.0,6.0,18.091158,31.709218,21.893968,6.913
44,HAM,71.633,5.0,4.0,18.2817,31.803676,21.507619,3.594
55,SAI,71.371,4.0,3.0,18.195542,31.66938,21.463718,3.463
63,RUS,71.307,3.0,1.0,18.092585,31.849887,21.328056,3.433
77,BOT,72.602,18.0,16.0,18.433463,32.237228,21.856485,3.68
81,PIA,71.334,7.0,2.0,18.189685,31.743014,21.346985,3.447
