DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,109.063,6.0,5.0,40.0097,44.599509,26.175607,3.027
10,GAS,110.614,20.0,12.0,40.10002,45.141156,26.223803,5.607
11,PER,108.596,4.0,,39.032708,43.830326,25.63651,2.695
14,ALO,110.224,8.0,6.0,40.03808,44.824666,26.063901,6.294
16,LEC,108.678,1.0,2.0,39.52908,44.075352,25.94547,2.835
18,STR,111.135,14.0,19.0,39.970545,44.790333,26.184222,5.174
22,TSU,115.904,12.0,20.0,42.156615,45.989214,27.309357,6.859
23,ALB,110.254,10.0,7.0,40.27478,44.575431,26.099784,6.342
24,ZHO,110.671,18.0,14.0,40.68894,45.119941,26.292647,3.556
27,HUL,110.393,13.0,11.0,40.2833,44.608803,26.137941,6.094
3,RIC,110.269,15.0,13.0,40.56654,45.183313,26.327627,2.422
31,OCO,110.882,19.0,15.0,40.384081,45.2311,26.13104,2.793
4,NOR,109.239,16.0,4.0,39.58066,44.239941,26.078352,3.967
43,COL,110.291,9.0,8.0,40.22038,44.755823,26.023333,5.259
44,HAM,110.333,7.0,9.0,40.29552,44.850274,25.81449,5.839
50,BEA,110.358,11.0,10.0,40.19808,44.742078,26.109,5.587
55,SAI,108.608,3.0,,38.923937,43.872653,25.692448,2.859
63,RUS,109.128,5.0,3.0,39.6901,44.257352,25.923862,3.496
77,BOT,111.246,17.0,16.0,40.52,44.9924,26.36758,4.31
81,PIA,108.493,2.0,1.0,39.4612,43.953901,25.900235,2.437
