DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,96.574,1.0,1.0,31.408017,41.414842,23.734122,4.158
10,GAS,98.878,20.0,18.0,32.366545,42.159696,24.230589,5.551
11,PER,96.968,5.0,2.0,31.452642,41.669157,23.809157,4.026
14,ALO,97.888,6.0,9.0,31.710142,42.104842,24.028701,4.177
16,LEC,97.27,2.0,4.0,31.594267,41.813929,23.835982,4.005
18,STR,98.21,12.0,10.0,31.698803,42.345649,23.993789,4.214
2,SAR,99.327,18.0,20.0,33.562962,42.490054,24.320054,6.67
20,MAG,98.447,15.0,12.0,31.760127,42.384875,24.231,4.122
22,TSU,98.468,11.0,14.0,31.841236,42.404125,24.161196,4.121
23,ALB,98.511,13.0,15.0,31.880363,42.436839,24.129321,4.15
24,ZHO,98.42,17.0,11.0,31.858054,42.356732,24.114285,4.12
27,HUL,98.614,10.0,16.0,32.167436,42.20866,24.0935,6.313
3,RIC,98.459,14.0,13.0,31.694072,42.398767,24.252446,4.235
31,OCO,98.861,19.0,17.0,32.081509,42.42891,24.22925,4.261
4,NOR,97.425,7.0,6.0,31.555,41.861333,23.954543,4.076
44,HAM,97.457,9.0,7.0,31.525642,42.031789,23.836807,4.05
55,SAI,97.015,4.0,3.0,31.451392,41.80921,23.709736,3.967
63,RUS,97.395,3.0,5.0,31.616321,41.991596,23.755438,4.097
77,BOT,98.504,16.0,19.0,31.55937,42.522339,24.24991,3.647
81,PIA,97.558,8.0,8.0,31.668839,41.86514,23.969228,4.399
