DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,109.233,1.0,5.0,31.569093,48.329954,29.249204,3.461
10,GAS,110.486,12.0,14.0,31.882837,49.049068,29.454772,3.592
11,PER,110.005,3.0,8.0,32.267488,48.122977,29.577545,4.042
14,ALO,110.159,9.0,9.0,31.618697,48.980181,29.475818,2.675
16,LEC,109.218,2.0,4.0,31.936953,47.87584,29.365568,3.295
18,STR,110.456,15.0,12.0,31.555372,49.34084,29.432318,2.894
2,SAR,110.979,19.0,18.0,31.899279,49.410136,29.539295,3.835
20,MAG,110.538,17.0,15.0,31.551162,49.382522,29.475977,3.015
22,TSU,110.768,18.0,17.0,31.632279,49.50909,29.496272,3.168
23,ALB,110.47,11.0,13.0,31.746,49.25175,29.393636,3.358
24,ZHO,119.807,20.0,20.0,31.676,52.611,34.8546,10.125
27,HUL,111.043,16.0,19.0,31.82286,49.507227,29.60109,3.55
3,RIC,110.272,13.0,11.0,31.770441,48.91,29.481477,3.717
31,OCO,110.218,10.0,10.0,31.558395,49.280681,29.284363,3.532
4,NOR,109.248,5.0,6.0,31.559255,48.386295,29.22809,3.274
44,HAM,109.036,4.0,2.0,31.923000000000002,47.709772,29.359795,3.508
55,SAI,109.474,8.0,7.0,31.830046,48.226318,29.357204,3.367
63,RUS,109.024,7.0,1.0,31.365511,48.380227,29.214795,2.651
77,BOT,110.629,14.0,16.0,31.836069,49.166159,29.53375,3.321
81,PIA,109.05,6.0,3.0,31.628,48.117409,29.248136,3.481
