DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,95.164,4.0,2.0,31.038823,38.049942,26.036903,6.703
10,GAS,,20.0,1.0,,,,
11,PER,99.301,19.0,17.0,32.698877,39.5269,26.85376,9.375
14,ALO,96.358,10.0,8.0,31.204803,38.738519,26.333634,7.41
16,LEC,97.795,11.0,14.0,32.05014,39.218411,26.470411,8.426
18,STR,96.224,8.0,7.0,31.139117,38.673115,26.345846,6.872
2,SAR,96.847,12.0,11.0,31.467745,38.896711,26.400442,7.444
20,MAG,96.869,17.0,12.0,31.323294,38.99425,26.440865,7.833
22,TSU,96.661,13.0,10.0,31.23749,38.907096,26.433038,7.098
23,ALB,96.451,9.0,9.0,31.318941,38.72523,26.318096,7.606
24,ZHO,100.031,14.0,18.0,33.15351,39.85396,26.9591,9.213
27,HUL,96.207,6.0,6.0,31.144803,38.728384,26.255346,6.797
3,RIC,97.196,15.0,13.0,31.38126,39.162156,26.554274,7.215
31,OCO,99.155,18.0,16.0,32.626551,39.47384,26.973019999999998,8.321
4,NOR,95.281,3.0,3.0,31.022784,38.232865,25.980173,6.544
44,HAM,95.136,2.0,1.0,31.042215,38.10673,25.952096,6.838
55,SAI,96.046,7.0,5.0,31.464019,38.433923,26.099519,7.163
63,RUS,96.111,1.0,4.0,31.117468,38.434636,26.516333,7.152
77,BOT,97.821,16.0,15.0,31.60166,39.424647,26.683607,7.597
81,PIA,95.375,5.0,4.0,30.996254,38.243634,26.085846,7.335
