DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,90.685,2.0,1.0,25.816115,28.699828,36.030642,15.038
10,GAS,91.114,15.0,9.0,26.144173,28.830757,35.883114,12.081
11,PER,92.368,16.0,17.0,26.785823,29.444596,36.002352,10.435
14,ALO,90.935,6.0,6.0,26.114231,28.672628,35.979285,12.981
16,LEC,96.083,11.0,19.0,27.7403,30.022414,37.903125,12.619
18,STR,91.022,9.0,7.0,25.95684,28.817371,36.052142,12.369
2,SAR,94.11,13.0,,27.475,30.535608,35.450608,8.733
20,MAG,91.131,14.0,12.0,26.152478,28.619314,36.143614,11.908
22,TSU,91.437,8.0,14.0,26.041637,29.1694,36.020414,11.797
23,ALB,92.097,10.0,,26.989078,28.958652999999998,35.879365,10.073
24,ZHO,92.775,20.0,15.0,26.741441000000002,28.943027999999998,36.796695,12.819
27,HUL,91.125,19.0,11.0,26.08184,28.672914,36.132471,11.503
3,RIC,91.094,5.0,8.0,26.08255,28.735371,36.089571,12.266
31,OCO,91.118,18.0,10.0,26.063492,28.871171,35.935114,11.89
4,NOR,90.74,3.0,2.0,25.849652,28.711857,36.030442,15.616
44,HAM,90.755,7.0,4.0,26.081898,28.383085,36.112228,14.161
55,SAI,92.086,12.0,15.0,26.979634,29.424169,35.821192,10.146
63,RUS,90.746,1.0,3.0,26.063884,28.378242,36.185028,14.485
77,BOT,91.263,17.0,13.0,26.252391,28.908928,35.824414,11.099
81,PIA,90.83,4.0,5.0,26.062579,28.683442,35.922985,14.652
