DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,105.235,1.0,1.0,28.933745000000002,32.280946,46.872892,13.758
10,GAS,109.317,15.0,13.0,29.548363,32.665892,47.056107,14.764
11,PER,105.9,2.0,3.0,28.812272,32.558767,47.046142,13.285
14,ALO,107.3,3.0,7.0,29.147545,32.47575,47.236339,13.911
16,LEC,106.021,6.0,4.0,28.69649,32.698232,47.077821,13.094
18,STR,105.803,11.0,16.0,29.058888,31.849,46.830803,9.913
2,SAR,109.601,20.0,17.0,29.261581,32.931464,47.297464,13.626
20,MAG,108.536,17.0,15.0,29.025072,32.638607,47.740053,12.253
22,TSU,111.047,19.0,,30.24584,32.698115,48.004115,14.242
23,ALB,109.251,14.0,12.0,29.195854,32.861928,47.148392,14.428
24,ZHO,108.578,16.0,14.0,29.492709,32.647821,47.168142,13.458
27,HUL,108.412,9.0,10.0,28.969363,32.836982,47.321035,13.969
3,RIC,113.897,12.0,18.0,30.118156,34.580212,50.301848,15.378
31,OCO,109.203,13.0,11.0,29.098545,32.619821,47.439607,14.749
4,NOR,107.445,4.0,2.0,28.675145,32.62925,47.009357,16.013
44,HAM,109.117,18.0,9.0,29.151218,32.694839,47.205464,14.624
55,SAI,107.086,7.0,5.0,28.6846,32.640678,47.324267,12.942
63,RUS,107.988,8.0,6.0,28.874436,32.594303,47.278303,14.551
77,BOT,104.133,10.0,,28.427277,31.097368,44.469315,4.465
81,PIA,108.321,5.0,8.0,29.016509,32.707607,47.343857,14.27
