DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,75.95,2.0,2.0,25.88138,27.30993,22.700625,2.421
10,GAS,76.819,9.0,9.0,26.166042,27.644478,22.916732,2.9
11,PER,76.181,5.0,6.0,25.946338,27.458,22.689375,2.781
14,ALO,76.888,7.0,10.0,26.103142,27.70438,22.984309,2.725
16,LEC,75.986,6.0,3.0,25.919563,27.443736,22.537652,2.413
18,STR,76.989,8.0,12.0,26.246385,27.781056,22.86469,2.635
2,SAR,77.606,20.0,16.0,26.392942,28.028267,23.060676,2.891
20,MAG,77.623,14.0,18.0,26.476557,28.008746,22.945943,3.004
22,TSU,77.615,12.0,17.0,26.748685000000002,27.743929,23.024633,3.484
23,ALB,77.271,19.0,14.0,26.493885,27.735704,22.923492,3.582
24,ZHO,78.308,18.0,20.0,27.043231,27.954542,23.1894,3.977
27,HUL,76.968,13.0,11.0,26.187042,27.837211,22.840676,2.624
3,RIC,76.994,15.0,13.0,26.324714,27.623802,22.931253,2.863
31,OCO,77.358,16.0,15.0,26.393242,27.740197,23.108338,2.817
4,NOR,75.632,1.0,1.0,25.70383,27.335,22.524347,2.57
44,HAM,76.321,11.0,8.0,26.153042,27.37218,22.688013,3.557
55,SAI,76.079,10.0,5.0,25.970281,27.454486,22.551111,2.726
63,RUS,76.252,4.0,7.0,26.163619,27.358111,22.656638,3.376
77,BOT,77.84,17.0,19.0,26.827797,27.785957,23.121285,3.513
81,PIA,76.012,3.0,4.0,25.72945,27.575875,22.622,2.543
