DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,81.353,1.0,1.0,25.970403,28.162174,27.189492,2.957
10,GAS,83.467,15.0,16.0,26.84195,28.673419,27.851564,4.261
11,PER,82.223,11.0,8.0,26.242838,28.327507,27.568603,3.193
14,ALO,83.877,19.0,19.0,27.151639,28.708709,27.852403,5.417
16,LEC,81.479,4.0,3.0,25.992145,28.262349,27.177968,3.15
18,STR,82.616,13.0,9.0,26.306822,28.548253,27.664555,3.098
2,SAR,83.489,20.0,17.0,26.567721,28.98987,27.81437,3.617
20,MAG,83.092,18.0,12.0,26.421852,28.885935,27.679612,3.361
22,TSU,82.953,7.0,10.0,26.423032,28.70308,27.753064,2.902
23,ALB,84.494,14.0,20.0,28.27796,29.160098,28.50845,7.279
24,ZHO,83.39,17.0,15.0,26.560409,28.920225,27.797161,3.288
27,HUL,83.073,10.0,11.0,26.492262,28.752322,27.758241,2.928
3,RIC,83.112,9.0,13.0,26.460245,28.820354000000002,27.743,3.067
31,OCO,83.374,12.0,14.0,26.553672,28.88979,27.838645,3.149
4,NOR,81.365,3.0,2.0,25.822564,28.297126,27.202015,3.114
44,HAM,81.91,8.0,6.0,26.027435,28.493222,27.32038,3.03
55,SAI,81.708,5.0,5.0,26.064919,28.375126,27.214714,3.022
63,RUS,82.102,6.0,7.0,26.433048,28.195444,27.416238,4.207
77,BOT,83.574,16.0,18.0,26.704393,28.940354,27.822564,3.295
81,PIA,81.578,2.0,4.0,25.834145,28.370730000000002,27.31119,2.953
