DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,84.333,3.0,5.0,30.551028,30.004942,23.721742,3.129
10,GAS,86.644,20.0,15.0,30.904093,31.064212,24.369848,3.65
11,PER,84.597,16.0,7.0,30.453637,30.242742,23.792885,3.668
14,ALO,85.206,7.0,11.0,30.736681,30.4568,23.943528,3.202
16,LEC,84.31,6.0,4.0,30.52071,29.839514,23.8817,3.249
18,STR,85.142,8.0,10.0,30.621695,30.445728,23.997785,3.532
2,SAR,86.008,14.0,17.0,31.120514,30.594623,24.183869,3.92
20,MAG,85.903,15.0,15.0,30.88347,30.648376,24.288289,3.353
22,TSU,85.132,10.0,9.0,30.57455,30.513085,23.953985,2.529
23,ALB,85.779,13.0,14.0,30.975514,30.648144,24.080246,3.325
24,ZHO,86.168,18.0,19.0,31.058191,30.764492,24.240086,3.529
27,HUL,85.727,11.0,13.0,30.810676,30.675913,24.146637,3.365
3,RIC,85.506,9.0,12.0,30.731294,30.602318,24.089971,3.251
31,OCO,86.129,19.0,18.0,31.037852,30.71313,24.28226,3.886
4,NOR,84.059,1.0,2.0,30.611202,29.696471,23.688571,3.121
44,HAM,84.241,5.0,3.0,30.594739,29.874971,23.706628,3.11
55,SAI,84.358,4.0,6.0,30.603172999999998,29.917514,23.762885,3.309
63,RUS,84.634,17.0,8.0,30.578304,30.079057,23.872728,3.392
77,BOT,85.904,12.0,16.0,30.894338,30.714695,24.205478,3.354
81,PIA,84.028,2.0,1.0,30.520782,29.765957,23.697571,3.279
