DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,85.258,7.0,6.0,28.434134,28.745792,28.041566,4.478
10,GAS,86.521,14.0,15.0,28.51349,29.314923,28.62525,4.33
11,PER,85.564,8.0,8.0,28.363538,28.953584,28.203264,4.13
14,ALO,85.834,11.0,11.0,28.373884,29.040509,28.36932,4.179
16,LEC,84.542,4.0,1.0,27.8625,28.630547,28.012566,3.089
18,STR,87.005,17.0,19.0,28.804529,29.370692,28.753096,5.457
20,MAG,85.642,13.0,9.0,28.069557,29.137754,28.364962,3.417
22,TSU,90.953,16.0,19.0,28.238666,30.819142,31.277428,5.268
23,ALB,85.815,9.0,10.0,28.055038,29.233339,28.474886,3.185
24,ZHO,86.938,20.0,18.0,28.346372,29.657769000000002,28.835403,3.644
27,HUL,86.761,10.0,17.0,28.933274,29.289192,28.489115,6.728
3,RIC,86.022,12.0,12.0,28.166057,29.173188,28.621075,3.969
31,OCO,86.411,15.0,14.0,28.205921,29.454192,28.67225,3.094
4,NOR,84.658,1.0,3.0,28.171211,28.629056,27.836622,4.156
43,COL,86.076,18.0,13.0,28.16223,29.328132,28.496811,3.396
44,HAM,84.973,6.0,5.0,28.18075,28.749886,28.00249,4.199
55,SAI,84.837,5.0,4.0,27.942057,28.818018,28.038169,3.095
63,RUS,85.291,3.0,7.0,28.407826,28.820245,28.025849,5.194
77,BOT,86.691,19.0,16.0,28.363607000000002,29.553653,28.681134,3.267
81,PIA,84.592,2.0,2.0,28.230057,28.499075,27.842056,4.131
