DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,97.638,1.0,1.0,35.46864,43.515396,19.274584,6.263
10,GAS,102.096,17.0,16.0,37.5282,44.940923,20.122134,12.207
11,PER,97.904,2.0,2.0,35.45464,43.726056,19.352264,6.317
14,ALO,98.639,5.0,6.0,35.8362,43.799377,19.556226,7.131
16,LEC,98.538,8.0,4.0,36.577078,43.983566,19.576509,8.539
18,STR,101.299,16.0,12.0,36.541224,44.399865,20.172365,13.027
2,SAR,102.584,19.0,17.0,37.33008,45.402115,20.231673,15.34
20,MAG,101.489,18.0,13.0,37.09926,44.815442,20.007576,13.303
22,TSU,100.24,10.0,10.0,36.348795,44.380784,19.422078,10.53
23,ALB,,14.0,2.0,,,,
24,ZHO,115.406,20.0,18.0,43.2518,48.389916,25.012833,29.072
27,HUL,100.182,12.0,11.0,37.59336,44.337423,19.844903,9.976
3,RIC,,11.0,1.0,,,,
31,OCO,101.826,15.0,15.0,37.45232,44.79675,20.096634,12.007
4,NOR,98.261,3.0,5.0,35.65402,43.851735,19.364226,6.563
44,HAM,98.923,7.0,9.0,36.962764,44.047018,19.612301,8.632
55,SAI,98.135,4.0,3.0,35.65906,43.766113,19.303528,6.918
63,RUS,98.979,9.0,7.0,36.855098,43.947754,19.754679,9.474
77,BOT,101.449,13.0,14.0,37.36938,44.680269,19.933865,12.212
81,PIA,98.761,6.0,8.0,36.999705,43.990679,19.551735,7.716
