DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,86.132,2.0,6.0,31.238528,32.854591,22.029436,13.77
10,GAS,86.777,8.0,10.0,31.236852,33.069753,22.191728,13.109
11,PER,87.558,18.0,17.0,32.034579,33.221357,22.253314,13.512
14,ALO,101.749,13.0,17.0,40.102615,37.816285,25.1718,23.103
16,LEC,85.777,4.0,3.0,30.790185,32.894126,22.065901,13.414
18,STR,86.87,14.0,11.0,31.36855,33.272114,22.177528,13.178
20,MAG,86.189,7.0,7.0,30.885357,33.054788,22.214732,13.178
22,TSU,,11.0,2.0,,,,
23,ALB,,9.0,1.0,,,,
24,ZHO,87.393,20.0,15.0,31.691405,33.419528,22.2167,13.377
27,HUL,86.55,10.0,9.0,31.130275,33.209457,22.172285,13.149
30,LAW,87.432,12.0,16.0,31.76684,33.304271,22.322757,13.41
31,OCO,87.078,19.0,13.0,31.460478,33.176742,22.289614,13.64
4,NOR,85.359,3.0,2.0,30.588242,32.754619,21.991323,13.351
43,COL,86.904,16.0,12.0,31.428898,33.312985,22.098185,13.329
44,HAM,85.924,6.0,4.0,30.763071,33.035619,22.09345,13.235
55,SAI,85.293,1.0,1.0,30.596714,32.835591,21.842464,13.328
63,RUS,85.977,5.0,5.0,30.9587,32.906774,22.079732,13.218
77,BOT,87.115,15.0,14.0,31.611724,33.132185,22.308985,13.367
81,PIA,86.207,17.0,8.0,31.159114,32.950774,22.018704,13.658
