DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,94.687,1.0,2.0,32.817607,36.208859,26.713333,8.961
10,GAS,96.401,12.0,12.0,32.898642,36.625035,26.747912,8.13
11,PER,95.869,4.0,5.0,33.070142,36.100631,26.638298,10.463
14,ALO,96.263,15.0,9.0,32.820071,36.642314999999996,26.677315,8.254
16,LEC,94.781,2.0,3.0,32.854107,36.211578,26.695087,8.778
18,STR,96.404,11.0,13.0,33.141232,36.573035,26.581157,8.45
2,SAR,95.687,17.0,,32.97173,35.826444,26.601888,3.893
20,MAG,96.571,19.0,18.0,33.642285,36.072157,26.726526,10.41
22,TSU,96.071,10.0,7.0,32.928982,36.370719,26.67135,9.925
23,ALB,96.947,14.0,19.0,33.407178,36.616122,26.804368,8.123
24,ZHO,96.489,20.0,15.0,33.028642,36.61514,26.698947,8.641
27,HUL,96.327,9.0,11.0,33.065232,36.531614,26.648157,8.409
3,RIC,96.506,18.0,16.0,33.07016,36.517,26.767017,8.371
31,OCO,96.309,13.0,10.0,32.92216,36.587052,26.681807,8.519
4,NOR,94.522,5.0,1.0,32.446017,36.359157,26.730666,8.991
44,HAM,95.903,8.0,6.0,32.871607,36.352964,26.599263,9.208
55,SAI,95.812,3.0,4.0,32.745303,36.333649,26.679754,11.179
63,RUS,96.222,7.0,8.0,32.942214,36.529245,26.643684,8.704
77,BOT,96.53,16.0,17.0,32.846267,36.688736,26.847508,8.053
81,PIA,95.521,6.0,14.0,33.285,36.384614,26.783333,9.122
