DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,93.608,1.0,1.0,35.444326,30.45056,30.9601,4.378
10,GAS,121.453,18.0,20.0,,36.134,40.034,
11,PER,93.868,3.0,2.0,35.559448,30.5852,30.85306,4.629
14,ALO,94.558,4.0,5.0,35.776285,30.72454,31.03164,4.919
16,LEC,94.101,2.0,3.0,35.636204,30.66418,30.907,4.641
18,STR,97.122,10.0,,35.4545,30.3216,30.3014,2.973
2,SAR,97.349,19.0,15.0,36.747791,31.037918,31.056734,8.766
20,MAG,96.918,13.0,11.0,36.576632000000004,30.91504,30.98554,9.029
22,TSU,97.276,9.0,14.0,36.85652,30.997306000000002,31.01253,9.186
23,ALB,96.972,12.0,12.0,36.667877,30.87632,30.982,8.99
24,ZHO,98.048,20.0,18.0,37.085833,31.002469,31.213489,11.25
27,HUL,95.765,15.0,10.0,36.264714,30.91904,31.10112,5.927
3,RIC,97.297,14.0,16.0,36.106191,30.923836,30.653122,7.464
31,OCO,97.311,17.0,13.0,36.756812,30.980346,31.064102,8.888
38,BEA,96.048,11.0,7.0,35.926816,30.79538,30.88512,9.312
4,NOR,94.858,6.0,8.0,35.675918,30.80334,31.22104,5.517
44,HAM,94.955,8.0,9.0,36.192183,30.54428,30.98966,5.591
63,RUS,94.753,7.0,6.0,36.027306,30.65352,30.90326,5.229
77,BOT,97.689,16.0,17.0,36.910645,31.076163,31.201918,9.149
81,PIA,94.469,5.0,4.0,35.802775,30.67168,30.97644,4.894
