DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,97.96,2.0,2.0,29.175229,41.268306,27.473483,3.166
10,GAS,100.191,18.0,17.0,29.65945,42.449049,27.956786,3.892
11,PER,99.298,13.0,10.0,29.35975,41.979967,27.852114,2.944
14,ALO,99.237,7.0,8.0,29.328983,42.114704,27.713245,3.062
16,LEC,98.629,9.0,5.0,29.131049,41.766548,27.643935,3.17
18,STR,100.002,17.0,14.0,29.49845,42.417786,27.955377,3.501
20,MAG,100.737,14.0,19.0,29.922607,43.131771,28.789684,5.956
22,TSU,99.367,8.0,12.0,29.4479,41.994344,27.822131,3.539
23,ALB,104.047,11.0,20.0,31.122285,43.060466,29.463333,9.864
24,ZHO,100.161,20.0,15.0,29.558683,42.349278,28.115901,3.528
27,HUL,99.274,6.0,9.0,29.448333,42.066262,27.691737,3.375
3,RIC,100.695,16.0,18.0,30.268466,42.151131,28.161786,5.179
31,OCO,99.944,15.0,13.0,29.56675,42.37854,27.886475,3.415
4,NOR,97.622,1.0,1.0,29.098081,41.013225,27.477016,3.13
43,COL,99.325,12.0,11.0,29.44025,41.917327,27.876393,3.447
44,HAM,98.997,3.0,6.0,29.465639,41.844451,27.639016,2.886
55,SAI,99.171,10.0,7.0,29.30995,41.961483,27.795677,2.961
63,RUS,98.607,4.0,4.0,29.282491,41.685354,27.575129,2.795
77,BOT,100.17,19.0,16.0,29.614033,42.427327,27.995836,3.484
81,PIA,98.297,5.0,3.0,29.125016,41.596951,27.501161,3.03
