DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,80.306,2.0,1.0,24.1758,32.059378,24.021318,3.331
10,GAS,81.246,7.0,9.0,24.409369,32.376121,24.389969,3.693
11,PER,81.208,8.0,8.0,24.524584,32.28906,24.313984,4.042
14,ALO,81.688,11.0,12.0,24.413218,32.704907,24.484692,3.483
16,LEC,80.651,5.0,5.0,24.041769,32.30203,24.242545,3.456
18,STR,81.93,14.0,14.0,24.578765,32.731215,24.531107,3.661
2,SAR,82.892,20.0,20.0,24.816206,33.030031,24.945171,3.552
20,MAG,82.385,16.0,17.0,24.655328,32.913046,24.71903,4.235
22,TSU,82.525,17.0,19.0,24.824921,32.86963,24.739092,4.31
23,ALB,82.437,19.0,18.0,24.673546,32.917615,24.681784,3.739
24,ZHO,81.78,15.0,13.0,24.476203,32.682415,24.525046,3.793
27,HUL,81.431,13.0,11.0,24.407307,32.574484,24.363212,3.68
3,RIC,82.22,18.0,15.0,24.578156,32.858584,24.679753,3.766
31,OCO,81.396,9.0,10.0,24.355923,32.484196,24.478181,3.369
4,NOR,80.34,1.0,2.0,24.023707,32.144727,24.114409,3.41
44,HAM,80.576,3.0,3.0,24.02723,32.264939,24.223015,3.296
55,SAI,80.777,6.0,6.0,24.120123,32.378954,24.207969,3.417
63,RUS,80.645,4.0,4.0,24.178723,32.245545,24.1785,3.652
77,BOT,82.362,12.0,16.0,24.660765,32.903461,24.71083,3.437
81,PIA,80.818,10.0,7.0,24.274292,32.255272,24.213818,3.627
