DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,100.184,2.0,4.0,27.489672,40.687267,34.11716,4.253
10,GAS,102.454,7.0,12.0,27.892236,40.974232,34.586464,8.318
11,PER,101.158,10.0,7.0,27.457509,41.087982,34.415946,5.223
14,ALO,102.904,8.0,13.0,27.838444,41.3408,34.608763,8.373
16,LEC,99.808,4.0,1.0,27.479563,40.474678,34.000017,4.296
18,STR,102.342,14.0,15.0,28.0185,41.445581,34.592236,5.617
20,MAG,101.469,9.0,11.0,27.954272,41.005875,34.387321,5.377
22,TSU,102.001,11.0,14.0,28.033722,41.2822,34.507072,5.495
23,ALB,103.178,16.0,16.0,28.317759,41.24649,34.473654,7.921
24,ZHO,104.707,20.0,19.0,28.626925,41.49769,34.498145,11.041
27,HUL,102.163,12.0,8.0,27.732363,40.980303,34.309928,8.597
30,LAW,101.463,15.0,9.0,27.687763,41.112339,34.332339,5.637
31,OCO,103.724,13.0,18.0,28.233629,41.412636,34.668163,8.978
4,NOR,100.158,1.0,3.0,27.522363,40.556982,34.126303,4.49
43,COL,102.378,17.0,10.0,27.673363,41.108232,34.386071,8.572
44,HAM,108.064,19.0,,,42.336,34.43,
55,SAI,99.998,3.0,2.0,27.508363,40.512303,34.069964,4.253
63,RUS,102.106,6.0,6.0,27.576909,40.86966,34.366339,8.787
77,BOT,103.586,18.0,17.0,28.089185,41.500454,34.74469,8.373
81,PIA,101.224,5.0,5.0,27.582109,40.648321,34.085285,8.029
